//인첸트스크립트_all		//조합코드:index값							아이템참조		7245마야보석1레벨_Drop						조합 비용												
//최종수정자:정동일		//아이템종류:0:무기1:방어구							4201필미스톤		7246마야보석2레벨						1~6 100%가 1:1												
//Version	0.0.0.9	//최소아이템레벨:인첸트가일어나는최소아이템레벨(아이템스크립트LV파라미터값비교)							4202오버미스톤		7247마야보석3레벨						7인챈 이상은 50%가 1:1												
//작성일	오후 4:51 2009-02-13	//최대아이템레벨:인첸트가일어나는최대아이템레벨(아이템스크립트LV파라미터값비교)							4203스트렝스스톤		7248마야보석4레벨_Cash																		
//									4701프로텍션크리스탈		7249마야금속1레벨_Drop																		
//									4702샤이닝크리스탈		7250마야금속2레벨																		
//									4204메가미스톤		7251마야금속3레벨																		
//									4703유니크리스탈		7252마야금속4레벨_Cash					//테스트를 위한 가 데이터										//현재 인챈트 착용 요구치 공식 : INT(인챈트 급수 / ( 3 - (아이템 레벨 / 6 ) ) + 1 )			
//																	"//(100%조합*상수 값)으로 계산하며, 소수점 첫 째 자리에서 반올림한 정수 값으로 출력."									사용여부			
//					  MONEY EnchantFare = (rTargetSlot.GetPriceForBuy()*rTargetSlot.GetItemInfo()->m_LV)												//소수점 3째 자리까지 입력 가능(ex. 0.001)									0. 사용안함			
//																										1. 사용함			
//1.1																													
//추가 버전															816		816						816			816			
//설명	조합코드	아이템종류	아이템레벨	인첸트등급	인첸트재료1	인첸트재료1개수	인첸트재료2	인첸트재료2개수	인첸트재료3	인첸트재료3개수	인첸트재료4	인첸트재료4개수	인첸트재료5	인첸트재료5개수	100%재료	필요하임배율	75%재료	필요하임배율	50%재료	필요하임배율	25%재료	필요하임배율	사용여부	다운확률	다운레벨	사용여부	착용요구치상승폭		
	bCode	bItemType	bItemLV	bEnchant	wMaterial1	wMaterial1Num	wMaterial2	wMaterial2Num	wMaterial3	wMaterial3Num	wMaterial4	wMaterial4Num	wMaterial5	wMaterial5Num	HaimFare1	MaterialFare1	HaimFare2	MaterialFare2	HaimFare3	MaterialFare3	HaimFare4	MaterialFare4	bDownGrade	byDownPer	byDownLV	bLimitRatio	dLimitRatio	FieldEnd	
	148	0	20	4	4204	2	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	0	1	1	1		//+4인첸트할때필요재료
	149	0	20	5	4204	2	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	0	1	1	0.67		//+5인첸트할때필요재료
	150	0	20	6	4204	2	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	0	1	1	0.75		//+6인첸트할때필요재료
	151	0	20	7	4204	4	4201	4	4701	4	7283	1	0	0	1	1	1	1	1	1	0.75	0.75	1	0	1	1	0.6		//+7인첸트할때필요재료
	152	0	20	8	4204	8	4201	8	4701	8	7283	1	0	0	1	1	1	1	1	1	0.75	0.75	1	0	1	1	0.4		//+8인첸트할때필요재료
	153	0	20	9	4204	16	4201	16	4701	16	7283	1	0	0	1	1	1	1	1	1	0.75	0.75	1	0	1	1	0.2		//+9인첸트할때필요재료
	154	0	20	10	4204	32	4201	32	4701	32	4702	32	7283	1	1	1	1	1	1	1	0.75	0.75	1	0	1	1	-0.3		//+10인첸트할때필요재료
	155	0	20	11	4204	64	4201	64	4701	64	4702	64	7283	1	1	1	1	1	1	1	0.75	0.75	1	0	1	1	-0.5		//+11인첸트할때필요재료
	156	0	20	12	4204	128	4201	128	4701	128	4702	128	7283	1	1	1	1	1	1	1	0.75	0.75	1	0	1	1	-0.9		//+12인첸트할때필요재료
	157	0	26	1	4205	3	7283	3	4204	3	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1		//+1인첸트할때필요재료
	158	0	26	2	4205	3	7283	3	4204	3	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1		//+2인첸트할때필요재료
	159	0	26	3	4205	3	7283	3	4204	3	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1		//+3인첸트할때필요재료
	160	0	26	4	4205	3	7283	3	4204	3	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1		//+4인첸트할때필요재료
	161	0	26	5	4205	3	7283	3	4204	3	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0.67		//+5인첸트할때필요재료
	162	0	26	6	4205	3	7283	3	4204	3	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0.75		//+6인첸트할때필요재료
	163	0	26	7	4205	6	7283	6	4204	6	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0.6		//+7인첸트할때필요재료
	164	0	26	8	4205	16	7283	16	4204	16	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0.4		//+8인첸트할때필요재료
	165	0	26	9	4205	32	7283	32	4204	32	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0.2		//+9인첸트할때필요재료
	166	0	26	10	4205	64	7283	64	4204	64	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	-0.3		//+10인첸트할때필요재료
	167	0	26	11	4205	128	7283	128	4204	128	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	-0.5		//+11인첸트할때필요재료
	168	0	26	12	4205	255	7283	255	4204	255	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	-0.9		//+12인첸트할때필요재료
	169	0	22	1	4204	2	7283	1	0	0	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	0	1	1	1		//+1인첸트할때필요재료
	170	0	22	2	4204	2	7283	1	0	0	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	0	1	1	1		//+2인첸트할때필요재료
	171	0	22	3	4204	2	7283	1	0	0	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	0	1	1	1		//+3인첸트할때필요재료
	172	0	22	4	4204	2	7283	1	0	0	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	0	1	1	1		//+4인첸트할때필요재료
	173	0	22	5	4204	2	7283	1	0	0	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	0	1	1	0.67		//+5인첸트할때필요재료
	174	0	22	6	4204	2	7283	1	0	0	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	0	1	1	0.75		//+6인첸트할때필요재료
	175	0	22	7	4204	4	4201	4	4701	4	7283	2	0	0	1	1	1	1	1	1	0.75	0.75	1	0	1	1	0.6		//+7인첸트할때필요재료
	176	0	22	8	4204	8	4201	8	4701	8	7283	2	0	0	1	1	1	1	1	1	0.75	0.75	1	0	1	1	0.4		//+8인첸트할때필요재료
	177	0	22	9	4204	16	4201	16	4701	16	7283	2	0	0	1	1	1	1	1	1	0.75	0.75	1	0	1	1	0.2		//+9인첸트할때필요재료
	178	0	22	10	4204	32	4201	32	4701	32	4702	32	7283	4	1	1	1	1	1	1	0.75	0.75	1	0	1	1	-0.3		//+10인첸트할때필요재료
	179	0	22	11	4204	64	4201	64	4701	64	4702	64	7283	4	1	1	1	1	1	1	0.75	0.75	1	0	1	1	-0.5		//+11인첸트할때필요재료
	180	0	22	12	4204	128	4201	128	4701	128	4702	128	7283	4	1	1	1	1	1	1	0.75	0.75	1	0	1	1	-0.9		//+12인첸트할때필요재료
//일반 아이템 인챈트 그룹_방어구																													
	201	1	1	1	4201	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+1인첸트할때필요재료
	202	1	1	2	4201	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+2인첸트할때필요재료
	203	1	1	3	4201	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+3인첸트할때필요재료
	204	1	1	4	4201	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+4인첸트할때필요재료
	205	1	1	5	4201	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	0.67		//+5인첸트할때필요재료
	206	1	1	6	4201	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	0.75		//+6인첸트할때필요재료
	207	1	1	7	4201	1	4701	1	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	10	1	1	0.6		//+7인첸트할때필요재료
	208	1	1	8	4201	2	4701	1	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	20	1	1	0.4		//+8인첸트할때필요재료
	209	1	1	9	4201	4	4701	1	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	30	1	1	0.2		//+9인첸트할때필요재료
	210	1	1	10	4201	8	4701	1	4702	1	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	40	1	1	-0.3		//+10인첸트할때필요재료
	211	1	1	11	4201	16	4701	2	4702	2	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	50	1	1	-0.5		//+11인첸트할때필요재료
	212	1	1	12	4201	32	4701	4	4702	4	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	100	1	1	-0.9		//+12인첸트할때필요재료
	213	1	2	1	4201	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+1인첸트할때필요재료
	214	1	2	2	4201	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+2인첸트할때필요재료
	215	1	2	3	4201	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+3인첸트할때필요재료
	216	1	2	4	4201	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+4인첸트할때필요재료
	217	1	2	5	4201	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	0.67		//+5인첸트할때필요재료
	218	1	2	6	4201	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	0.75		//+6인첸트할때필요재료
	219	1	2	7	4201	1	4701	1	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	10	1	1	0.6		//+7인첸트할때필요재료
	220	1	2	8	4201	2	4701	1	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	20	1	1	0.4		//+8인첸트할때필요재료
	221	1	2	9	4201	4	4701	1	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	30	1	1	0.2		//+9인첸트할때필요재료
	222	1	2	10	4201	8	4701	1	4702	1	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	40	1	1	-0.3		//+10인첸트할때필요재료
	223	1	2	11	4201	16	4701	2	4702	2	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	50	1	1	-0.5		//+11인첸트할때필요재료
	224	1	2	12	4201	32	4701	4	4702	4	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	100	1	1	-0.9		//+12인첸트할때필요재료
	225	1	3	1	4202	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+1인첸트할때필요재료
	226	1	3	2	4202	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+2인첸트할때필요재료
	227	1	3	3	4202	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+3인첸트할때필요재료
	228	1	3	4	4202	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+4인첸트할때필요재료
	229	1	3	5	4202	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	0.67		//+5인첸트할때필요재료
	230	1	3	6	4202	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	0.75		//+6인첸트할때필요재료
	231	1	3	7	4202	1	4701	1	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	10	1	1	0.6		//+7인첸트할때필요재료
	232	1	3	8	4202	2	4701	1	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	20	1	1	0.4		//+8인첸트할때필요재료
	233	1	3	9	4202	4	4701	1	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	30	1	1	0.2		//+9인첸트할때필요재료
	234	1	3	10	4202	8	4701	2	4702	2	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	40	1	1	-0.3		//+10인첸트할때필요재료
	235	1	3	11	4202	16	4701	4	4702	4	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	50	1	1	-0.5		//+11인첸트할때필요재료
	236	1	3	12	4202	32	4701	8	4702	8	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	100	1	1	-0.9		//+12인첸트할때필요재료
	237	1	4	1	4202	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+1인첸트할때필요재료
	238	1	4	2	4202	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+2인첸트할때필요재료
	239	1	4	3	4202	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+3인첸트할때필요재료
	240	1	4	4	4202	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+4인첸트할때필요재료
	241	1	4	5	4202	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	0.67		//+5인첸트할때필요재료
	242	1	4	6	4202	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	0.75		//+6인첸트할때필요재료
	243	1	4	7	4202	1	4701	1	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	10	1	1	0.6		//+7인첸트할때필요재료
	244	1	4	8	4202	2	4701	1	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	20	1	1	0.4		//+8인첸트할때필요재료
	245	1	4	9	4202	4	4701	1	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	30	1	1	0.2		//+9인첸트할때필요재료
	246	1	4	10	4202	8	4701	2	4702	2	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	40	1	1	-0.3		//+10인첸트할때필요재료
	247	1	4	11	4202	16	4701	4	4702	4	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	50	1	1	-0.5		//+11인첸트할때필요재료
	248	1	4	12	4202	32	4701	8	4702	8	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	100	1	1	-0.9		//+12인첸트할때필요재료
	249	1	5	1	4203	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+1인첸트할때필요재료
	250	1	5	2	4203	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+2인첸트할때필요재료
	251	1	5	3	4203	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+3인첸트할때필요재료
	252	1	5	4	4203	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+4인첸트할때필요재료
	253	1	5	5	4203	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	0.67		//+5인첸트할때필요재료
	254	1	5	6	4203	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	0.75		//+6인첸트할때필요재료
	255	1	5	7	4203	1	4701	1	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	10	1	1	0.6		//+7인첸트할때필요재료
	256	1	5	8	4203	2	4701	1	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	20	1	1	0.4		//+8인첸트할때필요재료
	257	1	5	9	4203	4	4701	2	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	30	1	1	0.2		//+9인첸트할때필요재료
	258	1	5	10	4203	8	4701	4	4702	4	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	40	1	1	-0.3		//+10인첸트할때필요재료
	259	1	5	11	4203	16	4701	8	4702	8	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	50	1	1	-0.5		//+11인첸트할때필요재료
	260	1	5	12	4203	32	4701	16	4702	16	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	100	1	1	-0.9		//+12인첸트할때필요재료
	261	1	6	1	4203	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+1인첸트할때필요재료
	262	1	6	2	4203	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+2인첸트할때필요재료
	263	1	6	3	4203	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+3인첸트할때필요재료
	264	1	6	4	4203	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+4인첸트할때필요재료
	265	1	6	5	4203	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	0.67		//+5인첸트할때필요재료
	266	1	6	6	4203	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	0.75		//+6인첸트할때필요재료
	267	1	6	7	4203	1	4701	1	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	10	1	1	0.6		//+7인첸트할때필요재료
	268	1	6	8	4203	2	4701	1	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	20	1	1	0.4		//+8인첸트할때필요재료
	269	1	6	9	4203	4	4701	2	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	30	1	1	0.2		//+9인첸트할때필요재료
	270	1	6	10	4203	8	4701	4	4702	4	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	40	1	1	-0.3		//+10인첸트할때필요재료
	271	1	6	11	4203	16	4701	8	4702	8	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	50	1	1	-0.5		//+11인첸트할때필요재료
	272	1	6	12	4203	32	4701	16	4702	16	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	100	1	1	-0.9		//+12인첸트할때필요재료
	273	1	7	1	4204	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+1인첸트할때필요재료
	274	1	7	2	4204	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+2인첸트할때필요재료
	275	1	7	3	4204	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+3인첸트할때필요재료
	276	1	7	4	4204	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+4인첸트할때필요재료
	277	1	7	5	4204	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	0.67		//+5인첸트할때필요재료
	278	1	7	6	4204	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	0.75		//+6인첸트할때필요재료
	279	1	7	7	4204	1	4701	1	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	10	1	1	0.6		//+7인첸트할때필요재료
	280	1	7	8	4204	2	4701	2	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	20	1	1	0.4		//+8인첸트할때필요재료
	281	1	7	9	4204	4	4701	4	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	30	1	1	0.2		//+9인첸트할때필요재료
	282	1	7	10	4204	8	4701	8	4702	8	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	40	1	1	-0.3		//+10인첸트할때필요재료
	283	1	7	11	4204	16	4701	16	4702	16	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	50	1	1	-0.5		//+11인첸트할때필요재료
	284	1	7	12	4204	32	4701	32	4702	32	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	100	1	1	-0.9		//+12인첸트할때필요재료
	285	1	8	1	4204	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+1인첸트할때필요재료
	286	1	8	2	4204	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+2인첸트할때필요재료
	287	1	8	3	4204	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+3인첸트할때필요재료
	288	1	8	4	4204	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+4인첸트할때필요재료
	289	1	8	5	4204	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	0.67		//+5인첸트할때필요재료
	290	1	8	6	4204	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	0.75		//+6인첸트할때필요재료
	291	1	8	7	4204	1	4701	1	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	10	1	1	0.6		//+7인첸트할때필요재료
	292	1	8	8	4204	2	4701	2	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	20	1	1	0.4		//+8인첸트할때필요재료
	293	1	8	9	4204	4	4701	4	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	30	1	1	0.2		//+9인첸트할때필요재료
	294	1	8	10	4204	8	4701	8	4702	8	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	40	1	1	-0.3		//+10인첸트할때필요재료
	295	1	8	11	4204	16	4701	16	4702	16	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	50	1	1	-0.5		//+11인첸트할때필요재료
	296	1	8	12	4204	32	4701	32	4702	32	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	100	1	1	-0.9		//+12인첸트할때필요재료
	297	1	10	1	4204	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+1인첸트할때필요재료
	298	1	10	2	4204	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+2인첸트할때필요재료
	299	1	10	3	4204	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+3인첸트할때필요재료
	300	1	10	4	4204	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+4인첸트할때필요재료
	301	1	10	5	4204	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	0.67		//+5인첸트할때필요재료
	302	1	10	6	4204	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	0.75		//+6인첸트할때필요재료
	303	1	10	7	4204	1	4701	1	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	10	1	1	0.6		//+7인첸트할때필요재료
	304	1	10	8	4204	2	4701	2	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	20	1	1	0.4		//+8인첸트할때필요재료
	305	1	10	9	4204	4	4701	4	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	30	1	1	0.2		//+9인첸트할때필요재료
	306	1	10	10	4204	8	4701	8	4702	8	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	40	1	1	-0.3		//+10인첸트할때필요재료
	307	1	10	11	4204	16	4701	16	4702	16	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	50	1	1	-0.5		//+11인첸트할때필요재료
	308	1	10	12	4204	32	4701	32	4702	32	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	100	1	1	-0.9		//+12인첸트할때필요재료
	309	1	21	1	4204	2	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	0	1	1	1		//+1인첸트할때필요재료
	310	1	21	2	4204	2	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	0	1	1	1		//+2인첸트할때필요재료
	311	1	21	3	4204	2	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	0	1	1	1		//+3인첸트할때필요재료
	312	1	21	4	4204	2	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	0	1	1	1		//+4인첸트할때필요재료
	313	1	21	5	4204	2	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	0	1	1	0.67		//+5인첸트할때필요재료
	314	1	21	6	4204	2	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	0	1	1	0.75		//+6인첸트할때필요재료
	315	1	21	7	4204	4	4202	4	4701	4	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	0	1	1	0.6		//+7인첸트할때필요재료
	316	1	21	8	4204	8	4202	8	4701	8	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	0	1	1	0.4		//+8인첸트할때필요재료
	317	1	21	9	4204	16	4202	16	4701	16	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	0	1	1	0.2		//+9인첸트할때필요재료
	318	1	21	10	4204	32	4202	32	4701	32	4702	32	0	0	1	1	1	1	1	1	0.75	0.75	1	0	1	1	-0.3		//+10인첸트할때필요재료
	319	1	21	11	4204	64	4202	64	4701	64	4702	64	0	0	1	1	1	1	1	1	0.75	0.75	1	0	1	1	-0.5		//+11인첸트할때필요재료
	320	1	21	12	4204	128	4202	128	4701	128	4702	128	0	0	1	1	1	1	1	1	0.75	0.75	1	0	1	1	-0.9		//+12인첸트할때필요재료
	321	1	25	1	7283	1	4204	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1		//+1인첸트할때필요재료
	322	1	25	2	7283	1	4204	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1		//+2인첸트할때필요재료
	323	1	25	3	7283	1	4204	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1		//+3인첸트할때필요재료
	324	1	25	4	7283	1	4204	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1		//+4인첸트할때필요재료
	325	1	25	5	7283	1	4204	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0.67		//+5인첸트할때필요재료
	326	1	25	6	7283	1	4204	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0.75		//+6인첸트할때필요재료
	327	1	25	7	7283	2	4204	2	4701	4	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0.6		//+7인첸트할때필요재료
	328	1	25	8	7283	4	4204	4	4701	8	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0.4		//+8인첸트할때필요재료
	329	1	25	9	7283	8	4204	8	4701	16	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0.2		//+9인첸트할때필요재료
