//		행	21	155		파라미터						제한값									
//	맵포탈스크립트작성	열	1	16		bMapType	맵타입		0 : 필드			bMin_Level	최소레벨제한	0~255		bMin_Level<유저레벨<bMax_Level 이여야 입장가능					
//	작성자 	김태현							1 : 미션							0 값인 경우 레벨제한 체크하지 않음					
//	수정자	김준호							(헌팅/PvP는 사용불가)			bMax_Level	최대레벨제한	0~255		bMin_Level<유저레벨>bMax_Level 이여야 입장가능					
//	수정날짜	09.2.25														0 값인 경우 레벨제한 체크하지 않음					
//	Version 1.0.0.4					bMoveType	이동타입		0: 포탈이용												
//									1: NPC이용			wMissionCode	미션제한	0~65535		해당 미션코드를 클리어 해야지만 맵에 진입가능					
//									2: 웨이포인트							0 값인 경우 미션제한 체크하지 않음					
//												wQuestCode	퀘스트제한	0~65535		해당 퀘스트코드를 클리어해야지만 맵에 진입가능					
//						sAreaFromID	이동되는 영역ID		Field.txt 참조							0 값인 경우 퀘스트제한 체크하지 않음					
//						sPortalID	현재필드의포탈오브젝트ID		텍스트값												
//						wFieldTo	오브젝트클릭시이동할필드		Field.txt 참조			사용료									
//						sAreaToID	이동될 영역ID					dHeim	맵진입시통행료	0~Max		맵 이동시 금액 만큼 소비					
//																0 인 경우 하임 소비 하지 않음					
//						wWorldFrom	현재필드를 참조할 월드.txt 의 코드값 참조					dWaste_Item	맵진입시아이템소비	0~65535		맵 이동시 해당 코드의 아이템 소비					
//						wWorldTo	넘어갈필드를 참조할 월드.txt 의 코드값 참조									0 인 경우 아이템 소비 하지 않음					
//	1																				
//										제한값							사용료				
//	인덱스	맵타입	이동타입	월드코드	현재필드	필드의영역ID	이동필드월드참조	넘어가는필드	넘어가는필드의영역ID	최소레벨제한	최대레벨제한	미션제한	퀘스트제한	아이템제한	보유개수	아이템소비여부	통행료				
	wIndex	bMapType	bMoveType	wWorldFrom	wFieldFrom	sAreaFromID	wWorldTo	wFieldTo	sAreaToID	bMin_Level	bMax_Level	wMissionCode	wQuestCode	wItemCode	bItemNum	dWaste_Item	dHeim	FieldEnd			
	113	0	2	10002	10002	NULL	55061	55061	WP01	75	135	0	0	0	0	0	35000		//	벨트헨	고통의묘지
	114	0	2	10002	10002	NULL	55081	55081	WP01	90	135	0	0	0	0	0	40000		//	벨트헨	사라진혼령의감옥
	115	0	2	10002	10002	NULL	56021	56021	WP01	100	135	0	0	0	0	0	45000		//	벨트헨	브론즈문시티
	116	0	2	10002	10002	NULL	56081	56081	WP01	110	135	0	0	0	0	0	55000		//	벨트헨	헬론의성중층
	201	0	2	10003	10003	NULL	10001	10001	WP01	20	135	0	0	0	0	0	4000		//	에텔레인	트링겔
	202	0	2	10003	10003	NULL	10002	10002	WP01	1	135	0	0	0	0	0	6000		//	에텔레인	벨트헨
	203	0	2	10003	10003	NULL	10004	10004	WP01	100	135	0	0	0	0	0	30000		//	에텔레인	오크라
	204	0	2	10003	10003	NULL	20004	20004	WP01	1	135	0	0	0	0	0	6000		//	에텔레인	자피르호수
	205	0	2	10003	10003	NULL	20005	20005	WP01	15	135	0	0	0	0	0	5000		//	에텔레인	연금술사의길
	206	0	2	10003	10003	NULL	20104	20104	WP01	25	135	0	0	0	0	0	3000		//	에텔레인	미완의기념관
	207	0	2	10003	10003	NULL	20105	20105	WP01	30	135	0	0	0	0	0	2000		//	에텔레인	미로의지하수로
	208	0	2	10003	10003	NULL	20204	20204	WP01	45	135	0	0	0	0	0	5000		//	에텔레인	요새의성역
	209	0	2	10003	10003	NULL	20205	20205	WP01	50	135	0	0	0	0	0	10000		//	에텔레인	페허의탑
	210	0	2	10003	10003	NULL	54061	54061	WP01	55	135	0	0	0	0	0	15000		//	에텔레인	고룡의무덤
	211	0	2	10003	10003	NULL	54081	54081	WP01	60	135	0	0	0	0	0	20000		//	에텔레인	카르완의분화구
	212	0	2	10003	10003	NULL	54041	54041	WP01	65	135	0	0	0	0	0	25000		//	에텔레인	피의분화구
	213	0	2	10003	10003	NULL	55061	55061	WP01	75	135	0	0	0	0	0	30000		//	에텔레인	고통의묘지
	214	0	2	10003	10003	NULL	55081	55081	WP01	90	135	0	0	0	0	0	35000		//	에텔레인	사라진혼령의감옥
	215	0	2	10003	10003	NULL	56021	56021	WP01	100	135	0	0	0	0	0	40000		//	에텔레인	브론즈문시티
	216	0	2	10003	10003	NULL	56081	56081	WP01	110	135	0	0	0	0	0	50000		//	에텔레인	헬론의성중층
	301	0	2	10004	10004	NULL	10001	10001	WP01	20	135	0	0	0	0	0	33000		//	오크라	트링겔
	302	0	2	10004	10004	NULL	10002	10002	WP01	1	135	0	0	0	0	0	35000		//	오크라	벨트헨
	303	0	2	10004	10004	NULL	10003	10003	WP01	35	135	0	0	0	0	0	30000		//	오크라	에텔레인
	304	0	2	10004	10004	NULL	20004	20004	WP01	1	135	0	0	0	0	0	34000		//	오크라	자피르호수
	305	0	2	10004	10004	NULL	20005	20005	WP01	15	135	0	0	0	0	0	33000		//	오크라	연금술사의길
	306	0	2	10004	10004	NULL	20104	20104	WP01	25	135	0	0	0	0	0	32000		//	오크라	미완의기념관
	307	0	2	10004	10004	NULL	20105	20105	WP01	30	135	0	0	0	0	0	31000		//	오크라	미로의지하수로
	308	0	2	10004	10004	NULL	20204	20204	WP01	45	135	0	0	0	0	0	26000		//	오크라	요새의성역
	309	0	2	10004	10004	NULL	20205	20205	WP01	50	135	0	0	0	0	0	21000		//	오크라	페허의탑
	310	0	2	10004	10004	NULL	54061	54061	WP01	55	135	0	0	0	0	0	16000		//	오크라	고룡의무덤
	311	0	2	10004	10004	NULL	54081	54081	WP01	60	135	0	0	0	0	0	11000		//	오크라	카르완의분화구
	312	0	2	10004	10004	NULL	54041	54041	WP01	65	135	0	0	0	0	0	6000		//	오크라	피의분화구
	313	0	2	10004	10004	NULL	55061	55061	WP01	75	135	0	0	0	0	0	1000		//	오크라	고통의묘지
	314	0	2	10004	10004	NULL	55081	55081	WP01	90	135	0	0	0	0	0	6000		//	오크라	사라진혼령의감옥
	315	0	2	10004	10004	NULL	56021	56021	WP01	100	135	0	0	0	0	0	11000		//	오크라	브론즈문시티
	316	0	2	10004	10004	NULL	56081	56081	WP01	110	135	0	0	0	0	0	21000		//	오크라	헬론의성중층
	401	0	2	20004	20004	NULL	10001	10001	WP01	20	135	0	0	0	0	0	2000		//	자피르호수	트링겔
	402	0	2	20004	20004	NULL	10002	10002	WP01	1	135	0	0	0	0	0	2000		//	자피르호수	벨트헨
	403	0	2	20004	20004	NULL	10003	10003	WP01	35	135	0	0	0	0	0	5000		//	자피르호수	에텔레인
	404	0	2	20004	20004	NULL	10004	10004	WP01	100	135	0	0	0	0	0	34000		//	자피르호수	오크라
	405	0	2	20004	20004	NULL	20005	20005	WP01	15	135	0	0	0	0	0	1000		//	자피르호수	연금술사의길
	406	0	2	20004	20004	NULL	20104	20104	WP01	25	135	0	0	0	0	0	3000		//	자피르호수	미완의기념관
	407	0	2	20004	20004	NULL	20105	20105	WP01	30	135	0	0	0	0	0	4000		//	자피르호수	미로의지하수로
	408	0	2	20004	20004	NULL	20204	20204	WP01	45	135	0	0	0	0	0	9000		//	자피르호수	요새의성역
	409	0	2	20004	20004	NULL	20205	20205	WP01	50	135	0	0	0	0	0	14000		//	자피르호수	페허의탑
	410	0	2	20004	20004	NULL	54061	54061	WP01	55	135	0	0	0	0	0	19000		//	자피르호수	고룡의무덤
	411	0	2	20004	20004	NULL	54081	54081	WP01	60	135	0	0	0	0	0	24000		//	자피르호수	카르완의분화구
	412	0	2	20004	20004	NULL	54041	54041	WP01	65	135	0	0	0	0	0	29000		//	자피르호수	피의분화구
	413	0	2	20004	20004	NULL	55061	55061	WP01	75	135	0	0	0	0	0	34000		//	자피르호수	고통의묘지
	414	0	2	20004	20004	NULL	55081	55081	WP01	90	135	0	0	0	0	0	39000		//	자피르호수	사라진혼령의감옥
	415	0	2	20004	20004	NULL	56021	56021	WP01	100	135	0	0	0	0	0	44000		//	자피르호수	브론즈문시티
	416	0	2	20004	20004	NULL	56081	56081	WP01	110	135	0	0	0	0	0	54000		//	자피르호수	헬론의성중층
	501	0	2	20005	20005	NULL	10001	10001	WP01	20	135	0	0	0	0	0	1000		//	연금술사의길	트링겔
	502	0	2	20005	20005	NULL	10002	10002	WP01	1	135	0	0	0	0	0	3000		//	연금술사의길	벨트헨
	503	0	2	20005	20005	NULL	10003	10003	WP01	35	135	0	0	0	0	0	4000		//	연금술사의길	에텔레인
	504	0	2	20005	20005	NULL	10004	10004	WP01	100	135	0	0	0	0	0	33000		//	연금술사의길	오크라
	505	0	2	20005	20005	NULL	20004	20004	WP01	1	135	0	0	0	0	0	3000		//	연금술사의길	자피르호수
	506	0	2	20005	20005	NULL	20104	20104	WP01	25	135	0	0	0	0	0	2000		//	연금술사의길	미완의기념관
	507	0	2	20005	20005	NULL	20105	20105	WP01	30	135	0	0	0	0	0	3000		//	연금술사의길	미로의지하수로
	508	0	2	20005	20005	NULL	20204	20204	WP01	45	135	0	0	0	0	0	8000		//	연금술사의길	요새의성역
	509	0	2	20005	20005	NULL	20205	20205	WP01	50	135	0	0	0	0	0	13000		//	연금술사의길	페허의탑
	510	0	2	20005	20005	NULL	54061	54061	WP01	55	135	0	0	0	0	0	18000		//	연금술사의길	고룡의무덤
	511	0	2	20005	20005	NULL	54081	54081	WP01	60	135	0	0	0	0	0	23000		//	연금술사의길	카르완의분화구
	512	0	2	20005	20005	NULL	54041	54041	WP01	65	135	0	0	0	0	0	28000		//	연금술사의길	피의분화구
	513	0	2	20005	20005	NULL	55061	55061	WP01	75	135	0	0	0	0	0	33000		//	연금술사의길	고통의묘지
	514	0	2	20005	20005	NULL	55081	55081	WP01	90	135	0	0	0	0	0	38000		//	연금술사의길	사라진혼령의감옥
	515	0	2	20005	20005	NULL	56021	56021	WP01	100	135	0	0	0	0	0	43000		//	연금술사의길	브론즈문시티
	516	0	2	20005	20005	NULL	56081	56081	WP01	110	135	0	0	0	0	0	53000		//	연금술사의길	헬론의성중층
	601	0	2	20104	20104	NULL	10001	10001	WP01	20	135	0	0	0	0	0	2000		//	미완의기념관	트링겔
	602	0	2	20104	20104	NULL	10002	10002	WP01	1	135	0	0	0	0	0	4000		//	미완의기념관	벨트헨
	603	0	2	20104	20104	NULL	10003	10003	WP01	35	135	0	0	0	0	0	3000		//	미완의기념관	에텔레인
	604	0	2	20104	20104	NULL	10004	10004	WP01	100	135	0	0	0	0	0	32000		//	미완의기념관	오크라
	605	0	2	20104	20104	NULL	20004	20004	WP01	1	135	0	0	0	0	0	4000		//	미완의기념관	자피르호수
	606	0	2	20104	20104	NULL	20005	20005	WP01	15	135	0	0	0	0	0	3000		//	미완의기념관	연금술사의길
	607	0	2	20104	20104	NULL	20105	20105	WP01	30	135	0	0	0	0	0	2000		//	미완의기념관	미로의지하수로
	608	0	2	20104	20104	NULL	20204	20204	WP01	45	135	0	0	0	0	0	7000		//	미완의기념관	요새의성역
	609	0	2	20104	20104	NULL	20205	20205	WP01	50	135	0	0	0	0	0	12000		//	미완의기념관	페허의탑
	610	0	2	20104	20104	NULL	54061	54061	WP01	55	135	0	0	0	0	0	17000		//	미완의기념관	고룡의무덤
	611	0	2	20104	20104	NULL	54081	54081	WP01	60	135	0	0	0	0	0	22000		//	미완의기념관	카르완의분화구
	612	0	2	20104	20104	NULL	54041	54041	WP01	65	135	0	0	0	0	0	27000		//	미완의기념관	피의분화구
	613	0	2	20104	20104	NULL	55061	55061	WP01	75	135	0	0	0	0	0	32000		//	미완의기념관	고통의묘지
	614	0	2	20104	20104	NULL	55081	55081	WP01	90	135	0	0	0	0	0	37000		//	미완의기념관	사라진혼령의감옥
	615	0	2	20104	20104	NULL	56021	56021	WP01	100	135	0	0	0	0	0	42000		//	미완의기념관	브론즈문시티
	616	0	2	20104	20104	NULL	56081	56081	WP01	110	135	0	0	0	0	0	52000		//	미완의기념관	헬론의성중층
	701	0	2	20105	20105	NULL	10001	10001	WP01	20	135	0	0	0	0	0	3000		//	미로의지하수로	트링겔
	702	0	2	20105	20105	NULL	10002	10002	WP01	1	135	0	0	0	0	0	5000		//	미로의지하수로	벨트헨
	703	0	2	20105	20105	NULL	10003	10003	WP01	35	135	0	0	0	0	0	2000		//	미로의지하수로	에텔레인
	704	0	2	20105	20105	NULL	10004	10004	WP01	100	135	0	0	0	0	0	31000		//	미로의지하수로	오크라
	705	0	2	20105	20105	NULL	20004	20004	WP01	1	135	0	0	0	0	0	5000		//	미로의지하수로	자피르호수
	706	0	2	20105	20105	NULL	20005	20005	WP01	15	135	0	0	0	0	0	4000		//	미로의지하수로	연금술사의길
	707	0	2	20105	20105	NULL	20104	20104	WP01	25	135	0	0	0	0	0	2000		//	미로의지하수로	미완의기념관
	708	0	2	20105	20105	NULL	20204	20204	WP01	45	135	0	0	0	0	0	6000		//	미로의지하수로	요새의성역
	709	0	2	20105	20105	NULL	20205	20205	WP01	50	135	0	0	0	0	0	11000		//	미로의지하수로	페허의탑
	710	0	2	20105	20105	NULL	54061	54061	WP01	55	135	0	0	0	0	0	16000		//	미로의지하수로	고룡의무덤
	711	0	2	20105	20105	NULL	54081	54081	WP01	60	135	0	0	0	0	0	21000		//	미로의지하수로	카르완의분화구
	712	0	2	20105	20105	NULL	54041	54041	WP01	65	135	0	0	0	0	0	26000		//	미로의지하수로	피의분화구
	713	0	2	20105	20105	NULL	55061	55061	WP01	75	135	0	0	0	0	0	31000		//	미로의지하수로	고통의묘지
	714	0	2	20105	20105	NULL	55081	55081	WP01	90	135	0	0	0	0	0	36000		//	미로의지하수로	사라진혼령의감옥
	715	0	2	20105	20105	NULL	56021	56021	WP01	100	135	0	0	0	0	0	41000		//	미로의지하수로	브론즈문시티
	716	0	2	20105	20105	NULL	56081	56081	WP01	110	135	0	0	0	0	0	51000		//	미로의지하수로	헬론의성중층
	801	0	2	20204	20204	NULL	10001	10001	WP01	20	135	0	0	0	0	0	8000		//	요새의성역	트링겔
	802	0	2	20204	20204	NULL	10002	10002	WP01	1	135	0	0	0	0	0	10000		//	요새의성역	벨트헨
	803	0	2	20204	20204	NULL	10003	10003	WP01	35	135	0	0	0	0	0	5000		//	요새의성역	에텔레인
	804	0	2	20204	20204	NULL	10004	10004	WP01	100	135	0	0	0	0	0	26000		//	요새의성역	오크라
	805	0	2	20204	20204	NULL	20004	20004	WP01	1	135	0	0	0	0	0	10000		//	요새의성역	자피르호수
	806	0	2	20204	20204	NULL	20005	20005	WP01	15	135	0	0	0	0	0	9000		//	요새의성역	연금술사의길
	807	0	2	20204	20204	NULL	20104	20104	WP01	25	135	0	0	0	0	0	7000		//	요새의성역	미완의기념관
	808	0	2	20204	20204	NULL	20105	20105	WP01	30	135	0	0	0	0	0	6000		//	요새의성역	미로의지하수로
	809	0	2	20204	20204	NULL	20205	20205	WP01	50	135	0	0	0	0	0	6000		//	요새의성역	페허의탑
	810	0	2	20204	20204	NULL	54061	54061	WP01	55	135	0	0	0	0	0	11000		//	요새의성역	고룡의무덤
	811	0	2	20204	20204	NULL	54081	54081	WP01	60	135	0	0	0	0	0	16000		//	요새의성역	카르완의분화구
	812	0	2	20204	20204	NULL	54041	54041	WP01	65	135	0	0	0	0	0	21000		//	요새의성역	피의분화구
	813	0	2	20204	20204	NULL	55061	55061	WP01	75	135	0	0	0	0	0	26000		//	요새의성역	고통의묘지
	814	0	2	20204	20204	NULL	55081	55081	WP01	90	135	0	0	0	0	0	31000		//	요새의성역	사라진혼령의감옥
	815	0	2	20204	20204	NULL	56021	56021	WP01	100	135	0	0	0	0	0	36000		//	요새의성역	브론즈문시티
	816	0	2	20204	20204	NULL	56081	56081	WP01	110	135	0	0	0	0	0	46000		//	요새의성역	헬론의성중층
	901	0	2	20205	20205	NULL	10001	10001	WP01	20	135	0	0	0	0	0	13000		//	페허의탑	트링겔
	902	0	2	20205	20205	NULL	10002	10002	WP01	1	135	0	0	0	0	0	15000		//	페허의탑	벨트헨
	903	0	2	20205	20205	NULL	10003	10003	WP01	35	135	0	0	0	0	0	10000		//	페허의탑	에텔레인
	904	0	2	20205	20205	NULL	10004	10004	WP01	100	135	0	0	0	0	0	21000		//	폐허의탑	오크라
	905	0	2	20205	20205	NULL	20004	20004	WP01	1	135	0	0	0	0	0	15000		//	페허의탑	자피르호수
	906	0	2	20205	20205	NULL	20005	20005	WP01	15	135	0	0	0	0	0	14000		//	페허의탑	연금술사의길
	907	0	2	20205	20205	NULL	20104	20104	WP01	25	135	0	0	0	0	0	12000		//	페허의탑	미완의기념관
	908	0	2	20205	20205	NULL	20105	20105	WP01	30	135	0	0	0	0	0	11000		//	페허의탑	미로의지하수로
	909	0	2	20205	20205	NULL	20204	20204	WP01	45	135	0	0	0	0	0	6000		//	페허의탑	요새의성역
	910	0	2	20205	20205	NULL	54061	54061	WP01	55	135	0	0	0	0	0	6000		//	페허의탑	고룡의무덤
	911	0	2	20205	20205	NULL	54081	54081	WP01	60	135	0	0	0	0	0	11000		//	페허의탑	카르완의분화구
	912	0	2	20205	20205	NULL	54041	54041	WP01	65	135	0	0	0	0	0	16000		//	페허의탑	피의분화구
	913	0	2	20205	20205	NULL	55061	55061	WP01	75	135	0	0	0	0	0	21000		//	폐허의탑	고통의묘지
	914	0	2	20205	20205	NULL	55081	55081	WP01	90	135	0	0	0	0	0	26000		//	폐허의탑	사라진혼령의감옥
	915	0	2	20205	20205	NULL	56021	56021	WP01	100	135	0	0	0	0	0	31000		//	폐허의탑	브론즈문시티
	916	0	2	20205	20205	NULL	56081	56081	WP01	110	135	0	0	0	0	0	41000		//	페허의탑	헬론의성중층
	1001	0	2	54061	54061	NULL	10001	10001	WP01	20	135	0	0	0	0	0	20000		//	고룡의무덤	트링겔
	1002	0	2	54061	54061	NULL	10002	10002	WP01	1	135	0	0	0	0	0	20000		//	고룡의무덤	벨트헨
	1003	0	2	54061	54061	NULL	10003	10003	WP01	35	135	0	0	0	0	0	15000		//	고룡의무덤	에텔레인
	1004	0	2	54061	54061	NULL	10004	10004	WP01	100	135	0	0	0	0	0	16000		//	고룡의무덤	오크라
	1005	0	2	54061	54061	NULL	20004	20004	WP01	1	135	0	0	0	0	0	19000		//	고룡의무덤	자피르호수
	1006	0	2	54061	54061	NULL	20005	20005	WP01	15	135	0	0	0	0	0	18000		//	고룡의무덤	연금술사의길
	1007	0	2	54061	54061	NULL	20104	20104	WP01	25	135	0	0	0	0	0	17000		//	고룡의무덤	미완의기념관
	1008	0	2	54061	54061	NULL	20105	20105	WP01	30	135	0	0	0	0	0	16000		//	고룡의무덤	미로의지하수로
	1009	0	2	54061	54061	NULL	20204	20204	WP01	45	135	0	0	0	0	0	11000		//	고룡의무덤	요새의성역
	1010	0	2	54061	54061	NULL	20205	20205	WP01	50	135	0	0	0	0	0	6000		//	고룡의무덤	페허의탑
	1011	0	2	54061	54061	NULL	54081	54081	WP01	60	135	0	0	0	0	0	6000		//	고룡의무덤	카르완의분화구
	1012	0	2	54061	54061	NULL	54041	54041	WP01	65	135	0	0	0	0	0	11000		//	고룡의무덤	피의분화구
	1013	0	2	54061	54061	NULL	55061	55061	WP01	75	135	0	0	0	0	0	16000		//	고룡의무덤	고통의묘지
	1014	0	2	54061	54061	NULL	55081	55081	WP01	90	135	0	0	0	0	0	21000		//	고룡의무덤	사라진혼령의감옥
	1015	0	2	54061	54061	NULL	56021	56021	WP01	100	135	0	0	0	0	0	26000		//	고룡의무덤	브론즈문시티
	1016	0	2	54061	54061	NULL	56081	56081	WP01	110	135	0	0	0	0	0	36000		//	고룡의무덤	헬론의성중층
	1101	0	2	54081	54081	NULL	10001	10001	WP01	20	135	0	0	0	0	0	25000		//	카르완의분화구	트링겔
	1102	0	2	54081	54081	NULL	10002	10002	WP01	1	135	0	0	0	0	0	25000		//	카르완의분화구	벨트헨
	1103	0	2	54081	54081	NULL	10003	10003	WP01	35	135	0	0	0	0	0	20000		//	카르완의분화구	에텔레인
	1104	0	2	54081	54081	NULL	10004	10004	WP01	100	135	0	0	0	0	0	11000		//	카르완의분화구	오크라
	1105	0	2	54081	54081	NULL	20004	20004	WP01	1	135	0	0	0	0	0	24000		//	카르완의분화구	자피르호수
	1106	0	2	54081	54081	NULL	20005	20005	WP01	15	135	0	0	0	0	0	23000		//	카르완의분화구	연금술사의길
	1107	0	2	54081	54081	NULL	20104	20104	WP01	25	135	0	0	0	0	0	22000		//	카르완의분화구	미완의기념관
	1108	0	2	54081	54081	NULL	20105	20105	WP01	30	135	0	0	0	0	0	21000		//	카르완의분화구	미로의지하수로
	1109	0	2	54081	54081	NULL	20204	20204	WP01	45	135	0	0	0	0	0	16000		//	카르완의분화구	요새의성역
	1110	0	2	54081	54081	NULL	20205	20205	WP01	50	135	0	0	0	0	0	11000		//	카르완의분화구	페허의탑
	1111	0	2	54081	54081	NULL	54061	54061	WP01	55	135	0	0	0	0	0	6000		//	카르완의분화구	고룡의무덤
	1112	0	2	54081	54081	NULL	54041	54041	WP01	65	135	0	0	0	0	0	6000		//	카르완의분화구	피의분화구
	1113	0	2	54081	54081	NULL	55061	55061	WP01	75	135	0	0	0	0	0	11000		//	카르완의분화구	고통의묘지
	1114	0	2	54081	54081	NULL	55081	55081	WP01	90	135	0	0	0	0	0	16000		//	카르완의분화구	사라진혼령의감옥
	1115	0	2	54081	54081	NULL	56021	56021	WP01	100	135	0	0	0	0	0	21000		//	카르완의분화구	브론즈문시티
	1116	0	2	54081	54081	NULL	56081	56081	WP01	110	135	0	0	0	0	0	31000		//	카르완의분화구	헬론의성중층
	1201	0	2	54041	54041	NULL	10001	10001	WP01	20	135	0	0	0	0	0	30000		//	피의분화구	트링겔
	1202	0	2	54041	54041	NULL	10002	10002	WP01	1	135	0	0	0	0	0	30000		//	피의분화구	벨트헨
	1203	0	2	54041	54041	NULL	10003	10003	WP01	35	135	0	0	0	0	0	25000		//	피의분화구	에텔레인
	1204	0	2	54041	54041	NULL	10004	10004	WP01	100	135	0	0	0	0	0	6000		//	피의분화구	오크라
	1205	0	2	54041	54041	NULL	20004	20004	WP01	1	135	0	0	0	0	0	29000		//	피의분화구	자피르호수
	1206	0	2	54041	54041	NULL	20005	20005	WP01	15	135	0	0	0	0	0	28000		//	피의분화구	연금술사의길
	1207	0	2	54041	54041	NULL	20104	20104	WP01	25	135	0	0	0	0	0	27000		//	피의분화구	미완의기념관
	1208	0	2	54041	54041	NULL	20105	20105	WP01	30	135	0	0	0	0	0	26000		//	피의분화구	미로의지하수로
	1209	0	2	54041	54041	NULL	20204	20204	WP01	45	135	0	0	0	0	0	21000		//	피의분화구	요새의성역
	1210	0	2	54041	54041	NULL	20205	20205	WP01	50	135	0	0	0	0	0	16000		//	피의분화구	페허의탑
	1211	0	2	54041	54041	NULL	54061	54061	WP01	55	135	0	0	0	0	0	11000		//	피의분화구	고룡의무덤
	1212	0	2	54041	54041	NULL	54081	54081	WP01	60	135	0	0	0	0	0	6000		//	피의분화구	카르완의분화구
	1213	0	2	54041	54041	NULL	55061	55061	WP01	75	135	0	0	0	0	0	6000		//	피의분화구	고통의묘지
	1214	0	2	54041	54041	NULL	55081	55081	WP01	90	135	0	0	0	0	0	11000		//	피의분화구	사라진혼령의감옥
	1215	0	2	54041	54041	NULL	56021	56021	WP01	100	135	0	0	0	0	0	16000		//	피의분화구	브론즈문시티
	1216	0	2	54041	54041	NULL	56081	56081	WP01	110	135	0	0	0	0	0	26000		//	피의분화구	헬론의성중층
	1301	0	2	55061	55061	NULL	10001	10001	WP01	20	135	0	0	0	0	0	35000		//	고통의묘지	트링겔
	1302	0	2	55061	55061	NULL	10002	10002	WP01	1	135	0	0	0	0	0	35000		//	고통의묘지	벨트헨
	1303	0	2	55061	55061	NULL	10003	10003	WP01	35	135	0	0	0	0	0	30000		//	고통의묘지	에텔레인
	1304	0	2	55061	55061	NULL	10004	10004	WP01	100	135	0	0	0	0	0	1000		//	고통의묘지	오크라
	1305	0	2	55061	55061	NULL	20004	20004	WP01	1	135	0	0	0	0	0	34000		//	고통의묘지	자피르호수
	1306	0	2	55061	55061	NULL	20005	20005	WP01	15	135	0	0	0	0	0	33000		//	고통의묘지	연금술사의길
	1307	0	2	55061	55061	NULL	20104	20104	WP01	25	135	0	0	0	0	0	32000		//	고통의묘지	미완의기념관
	1308	0	2	55061	55061	NULL	20105	20105	WP01	30	135	0	0	0	0	0	31000		//	고통의묘지	미로의지하수로
	1309	0	2	55061	55061	NULL	20204	20204	WP01	45	135	0	0	0	0	0	26000		//	고통의묘지	요새의성역
	1310	0	2	55061	55061	NULL	20205	20205	WP01	50	135	0	0	0	0	0	21000		//	고통의묘지	페허의탑
	1311	0	2	55061	55061	NULL	54061	54061	WP01	55	135	0	0	0	0	0	16000		//	고통의묘지	고룡의무덤
	1312	0	2	55061	55061	NULL	54081	54081	WP01	60	135	0	0	0	0	0	11000		//	고통의묘지	피의분화구
	1313	0	2	55061	55061	NULL	54041	54041	WP01	65	135	0	0	0	0	0	6000		//	고통의묘지	카르완의분화구
	1314	0	2	55061	55061	NULL	55081	55081	WP01	90	135	0	0	0	0	0	6000		//	고통의묘지	사라진혼령의감옥
	1315	0	2	55061	55061	NULL	56021	56021	WP01	100	135	0	0	0	0	0	11000		//	고통의묘지	브론즈문시티
	1316	0	2	55061	55061	NULL	56081	56081	WP01	110	135	0	0	0	0	0	21000		//	고통의묘지	헬론의성중층
	1401	0	2	55081	55081	NULL	10001	10001	WP01	20	135	0	0	0	0	0	40000		//	사라진혼령의감옥	트링겔
	1402	0	2	55081	55081	NULL	10002	10002	WP01	1	135	0	0	0	0	0	40000		//	사라진혼령의감옥	벨트헨
	1403	0	2	55081	55081	NULL	10003	10003	WP01	35	135	0	0	0	0	0	35000		//	사라진혼령의감옥	에텔레인
	1404	0	2	55081	55081	NULL	10004	10004	WP01	100	135	0	0	0	0	0	6000		//	사라진혼령의감옥	오크라
	1405	0	2	55081	55081	NULL	20004	20004	WP01	1	135	0	0	0	0	0	39000		//	사라진혼령의감옥	자피르호수
	1406	0	2	55081	55081	NULL	20005	20005	WP01	15	135	0	0	0	0	0	38000		//	사라진혼령의감옥	연금술사의길
	1407	0	2	55081	55081	NULL	20104	20104	WP01	25	135	0	0	0	0	0	37000		//	사라진혼령의감옥	미완의기념관
	1408	0	2	55081	55081	NULL	20105	20105	WP01	30	135	0	0	0	0	0	36000		//	사라진혼령의감옥	미로의지하수로
	1409	0	2	55081	55081	NULL	20204	20204	WP01	45	135	0	0	0	0	0	31000		//	사라진혼령의감옥	요새의성역
	1410	0	2	55081	55081	NULL	20205	20205	WP01	50	135	0	0	0	0	0	26000		//	사라진혼령의감옥	페허의탑
	1411	0	2	55081	55081	NULL	54061	54061	WP01	55	135	0	0	0	0	0	21000		//	사라진혼령의감옥	고룡의무덤
	1412	0	2	55081	55081	NULL	54081	54081	WP01	60	135	0	0	0	0	0	16000		//	사라진혼령의감옥	피의분화구
	1413	0	2	55081	55081	NULL	54041	54041	WP01	65	135	0	0	0	0	0	11000		//	사라진혼령의감옥	카르완의분화구
	1414	0	2	55081	55081	NULL	55061	55061	WP01	75	135	0	0	0	0	0	6000		//	사라진혼령의감옥	고통의묘지
	1415	0	2	55081	55081	NULL	56021	56021	WP01	100	135	0	0	0	0	0	6000		//	사라진혼령의감옥	브론즈문시티
	1416	0	2	55081	55081	NULL	56081	56081	WP01	110	135	0	0	0	0	0	16000		//	사라진혼령의감옥	헬론의성중층
	1501	0	2	56021	56021	NULL	10001	10001	WP01	20	135	0	0	0	0	0	43000		//	브론즈문시티	트링겔
	1502	0	2	56021	56021	NULL	10002	10002	WP01	1	135	0	0	0	0	0	45000		//	브론즈문시티	벨트헨
	1503	0	2	56021	56021	NULL	10003	10003	WP01	35	135	0	0	0	0	0	40000		//	브론즈문시티	에텔레인
