//세트 아이템 옵션 설정		1	아폴로	6	파괴신 아폴로									1	아폴로	6	파괴신 아폴로							1	아폴로	6	파괴신 아폴로							1	아폴로	6	파괴신 아폴로							1	아폴로	6	파괴신 아폴로							1	아폴로	6	파괴신 아폴로							1	아폴로	6	파괴신 아폴로							1	아폴로	6	파괴신 아폴로							1	아폴로	6	파괴신 아폴로																																									
//업데이트	2009년 2월 25일 수요일	2	아레스	7	저주의 아레스									2	아레스	7	저주의 아레스							2	아레스	7	저주의 아레스							2	아레스	7	저주의 아레스							2	아레스	7	저주의 아레스							2	아레스	7	저주의 아레스							2	아레스	7	저주의 아레스							2	아레스	7	저주의 아레스							2	아레스	7	저주의 아레스																																									
//최종작성자	강경란	3	아르테미	8	죽음의 아르테미스									3	아르테미	8	죽음의 아르테미스							3	아르테미	8	죽음의 아르테미스							3	아르테미	8	죽음의 아르테미스							3	아르테미	8	죽음의 아르테미스							3	아르테미	8	죽음의 아르테미스							3	아르테미	8	죽음의 아르테미스							3	아르테미	8	죽음의 아르테미스							3	아르테미	8	죽음의 아르테미스																																									
//Version	1.0.1.6	4	니케	9	타락한 니케									4	니케	9	타락한 니케							4	니케	9	타락한 니케							4	니케	9	타락한 니케							4	니케	9	타락한 니케							4	니케	9	타락한 니케							4	니케	9	타락한 니케							4	니케	9	타락한 니케							4	니케	9	타락한 니케																																									
//2.1		5	헤르메스	10	탐욕의 헤르메스									5	헤르메스	10	탐욕의 헤르메스							5	헤르메스	10	탐욕의 헤르메스							5	헤르메스	10	탐욕의 헤르메스							5	헤르메스	10	탐욕의 헤르메스							5	헤르메스	10	탐욕의 헤르메스							5	헤르메스	10	탐욕의 헤르메스							5	헤르메스	10	탐욕의 헤르메스							5	헤르메스	10	탐욕의 헤르메스																																									
//계열				갑옷	2개 이상 활성화 옵션			4개 이상 활성화 옵션			6개 이상 활성화 옵션			프로텍터	2개 이상 활성화 옵션			4개 이상 활성화 옵션			6개 이상 활성화 옵션			헬멧	2개 이상 활성화 옵션			4개 이상 활성화 옵션			6개 이상 활성화 옵션			바지	2개 이상 활성화 옵션			4개 이상 활성화 옵션			6개 이상 활성화 옵션			부츠	2개 이상 활성화 옵션			4개 이상 활성화 옵션			6개 이상 활성화 옵션			장갑	2개 이상 활성화 옵션			4개 이상 활성화 옵션			6개 이상 활성화 옵션			벨트	2개 이상 활성화 옵션			4개 이상 활성화 옵션			6개 이상 활성화 옵션			셔츠	2개 이상 활성화 옵션			4개 이상 활성화 옵션			6개 이상 활성화 옵션			Full option																			Additional option																	"//본넘버: 몸통=2, 오른손=4, 왼손=5, 가슴=11, 바닥=12"								
//파라메타 업데이트 버전 정보		812(TypeAdd)																																																																																																	1002	1002	1002	905	//셋트옵션 달성 후 해당 아아이템 장비 시 아래 추가 옵션 발동																		812	812	812	812	812	817	817	
//설명	세트그룹코드	아이템타입	풀옵션활성화수	장비위치	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	장비위치	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	장비위치	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	장비위치	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	장비위치	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	장비위치	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	장비위치	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	장비위치	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	풀셋이미지변경아이템	아이템코트	장비위치	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	효과코드1	본넘버1	효과코드2	본넘버2	효과코드3	본넘버3	효과코드4	본넘버4	
	wSetGCode	bysubType	bFulloptionNum	EqPos1	OptionKind1_1	useType1_1	Option1_1	OptionKind2_1	useType2_1	Option2_1	OptionKind3_1	useType3_1	Option3_1	EqPos2	OptionKind1_2	useType1_2	Option1_2	OptionKind2_2	useType2_2	Option2_2	OptionKind3_2	useType3_2	Option3_2	EqPos3	OptionKind1_3	useType1_3	Option1_3	OptionKind2_3	useType2_3	Option2_3	OptionKind3_3	useType3_3	Option3_3	EqPos4	OptionKind1_4	useType1_4	Option1_4	OptionKind2_4	useType2_4	Option2_4	OptionKind3_4	useType3_4	Option3_4	EqPos5	OptionKind1_5	useType1_5	Option1_5	OptionKind2_5	useType2_5	Option2_5	OptionKind3_5	useType3_5	Option3_5	EqPos6	OptionKind1_6	useType1_6	Option1_6	OptionKind2_6	useType2_6	Option2_6	OptionKind3_6	useType3_6	Option3_6	EqPos7	OptionKind1_7	useType1_7	Option1_7	OptionKind2_7	useType2_7	Option2_7	OptionKind3_7	useType3_7	Option3_7	EqPos8	OptionKind1_8	useType1_8	Option1_8	OptionKind2_8	useType2_8	Option2_8	OptionKind3_8	useType3_8	Option3_8	FullOptionKind1	useType1	FullOption1	FullOptionKind2	useType2	FullOption2	FullOptionKind3	useType3	FullOption3	FullOptionKind4	useType4	FullOption4	FullOptionKind5	useType5	FullOption5	FullOptionKind6	useType6	FullOption6	FullSetChangeItemCode	SpecialItemCode	SpecialPos	SpecialOptionKind1	 SpecialuseType1	SpecialOption1	SpecialOptionKind2	 SpecialuseType2	SpecialOption2	SpecialOptionKind3	 SpecialuseType3	SpecialOption3	SpecialOptionKind4	 SpecialuseType4	SpecialOption4	SpecialOptionKind5	 SpecialuseType5	SpecialOption5	sEffect1	btBoneIdx1	sEffect2	btBoneIdx2	sEffect3	btBoneIdx3	sEffect4	btBoneIdx4	FieldEnd
	15	5	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	93	1	1825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m025	2	Null	0	Null	0	Null	0	
	16	5	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	93	1	2595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m030	2	Null	0	Null	0	Null	0	
	17	5	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	93	1	3402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m035	2	Null	0	Null	0	Null	0	
	18	5	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	93	1	4210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m040	2	Null	0	Null	0	Null	0	
	19	5	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m045	2	Null	0	Null	0	Null	0	
	20	5	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m050	2	Null	0	Null	0	Null	0	
	21	5	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	93	1	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m055	2	m056	4	m056	5	Null	0	
	22	5	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	93	1	346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m060	2	m061	4	m061	5	Null	0	
	23	5	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	93	1	729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m065	2	m066	4	m066	5	Null	0	
	24	5	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	93	1	1246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m070	2	Null	0	Null	0	Null	0	
	25	5	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	93	1	1825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m075	2	Null	0	Null	0	Null	0	
	26	5	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	93	1	2595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m080	2	Null	0	Null	0	Null	0	
	27	5	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	93	1	3402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m085	2	Null	0	Null	0	Null	0	
	28	5	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	93	1	4210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m090	2	Null	0	Null	0	Null	0	
	29	5	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m095	2	Null	0	Null	0	Null	0	
	30	5	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m100	2	Null	0	Null	0	Null	0	
	31	5	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	93	1	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	M205	2	M206	4	M206	5	Null	0	
	32	5	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	93	1	346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	M210	2	M211	4	M211	5	Null	0	
	33	5	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	93	1	729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	M215	2	M216	4	M216	5	Null	0	
	34	5	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	93	1	1246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	M220	2	M221	4	M221	5	Null	0	
	35	5	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	93	1	1825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	M225	2	M226	4	M226	5	Null	0	
	36	5	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	93	1	2595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	M230	2	M231	4	M231	5	Null	0	
	37	5	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	93	1	3402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	M235	2	M236	4	M236	5	Null	0	
	38	5	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	93	1	4210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	M240	2	M241	4	M241	5	Null	0	
//섀도우_미정	39	5	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m245	2	m246	4	m246	5	Null	0	
//섀도우_미정	40	5	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m250	2	m251	4	m251	5	Null	0	
	41	5	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	93	1	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m105	2	Null	0	Null	0	Null	0	
	42	5	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	93	1	346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m110	2	Null	0	Null	0	Null	0	
	43	5	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	93	1	729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m115	2	Null	0	Null	0	Null	0	
	44	5	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	93	1	1246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m120	2	Null	0	Null	0	Null	0	
	45	5	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	93	1	1825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m125	2	Null	0	Null	0	Null	0	
	46	5	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	93	1	2595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m130	2	Null	0	Null	0	Null	0	
	47	5	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	93	1	3402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m135	2	Null	0	Null	0	Null	0	
	48	5	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	93	1	4210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m140	2	Null	0	Null	0	Null	0	
	49	5	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m145	2	Null	0	Null	0	Null	0	
	50	5	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m150	2	Null	0	Null	0	Null	0	
	51	5	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	93	1	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m155	2	m156	4	m156	5	Null	0	
	52	5	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	93	1	346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m160	2	m161	4	m161	5	Null	0	
	53	5	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	93	1	729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m165	2	Null	0	Null	0	Null	0	
	54	5	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	93	1	1246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m170	2	Null	0	Null	0	Null	0	
	55	5	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	93	1	1825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m175	2	m176	4	m176	5	Null	0	
