//아이템타입리스트						
//		0 일반				
//		1 디바인				
//		2 일반 에테리아				
//		3 디바인 에테리아				
//		4 외형				
//	인덱스	타입	인챈트	랭크업		
	ItemTypeIndex	bDivine	Enchant	Grade	FieldEnd	
	30800	2	0	8	//	"인첸트 +0, 등급 8, 일반 에테리아 아이템"
	30801	2	1	8	//	"인첸트 +1, 등급 8, 일반 에테리아 아이템"
	30802	2	2	8	//	"인첸트 +2, 등급 8, 일반 에테리아 아이템"
	30803	2	3	8	//	"인첸트 +3, 등급 8, 일반 에테리아 아이템"
	30804	2	4	8	//	"인첸트 +4, 등급 8, 일반 에테리아 아이템"
	30805	2	5	8	//	"인첸트 +5, 등급 8, 일반 에테리아 아이템"
	30806	2	6	8	//	"인첸트 +6, 등급 8, 일반 에테리아 아이템"
	30807	2	7	8	//	"인첸트 +7, 등급 8, 일반 에테리아 아이템"
	30808	2	8	8	//	"인첸트 +8, 등급 8, 일반 에테리아 아이템"
	30809	2	9	8	//	"인첸트 +9, 등급 8, 일반 에테리아 아이템"
	30810	2	10	8	//	"인첸트 +10, 등급 8, 일반 에테리아 아이템"
	30811	2	11	8	//	"인첸트 +11, 등급 8, 일반 에테리아 아이템"
	30812	2	12	8	//	"인첸트 +12, 등급 8, 일반 에테리아 아이템"
	30900	2	0	9	//	"인첸트 +0, 등급 9, 일반 에테리아 아이템"
	30901	2	1	9	//	"인첸트 +1, 등급 9, 일반 에테리아 아이템"
	30902	2	2	9	//	"인첸트 +2, 등급 9, 일반 에테리아 아이템"
	30903	2	3	9	//	"인첸트 +3, 등급 9, 일반 에테리아 아이템"
	30904	2	4	9	//	"인첸트 +4, 등급 9, 일반 에테리아 아이템"
	30905	2	5	9	//	"인첸트 +5, 등급 9, 일반 에테리아 아이템"
	30906	2	6	9	//	"인첸트 +6, 등급 9, 일반 에테리아 아이템"
	30907	2	7	9	//	"인첸트 +7, 등급 9, 일반 에테리아 아이템"
	30908	2	8	9	//	"인첸트 +8, 등급 9, 일반 에테리아 아이템"
	30909	2	9	9	//	"인첸트 +9, 등급 9, 일반 에테리아 아이템"
	30910	2	10	9	//	"인첸트 +10, 등급 9, 일반 에테리아 아이템"
	30911	2	11	9	//	"인첸트 +11, 등급 9, 일반 에테리아 아이템"
	30912	2	12	9	//	"인첸트 +12, 등급 9, 일반 에테리아 아이템"
	40000	3	0	0	//	"인첸트 +0, 등급 0, 디바인 에테리아 아이템"
	40001	3	1	0	//	"인첸트 +1, 등급 0, 디바인 에테리아 아이템"
	40002	3	2	0	//	"인첸트 +2, 등급 0, 디바인 에테리아 아이템"
	40003	3	3	0	//	"인첸트 +3, 등급 0, 디바인 에테리아 아이템"
	40004	3	4	0	//	"인첸트 +4, 등급 0, 디바인 에테리아 아이템"
	40005	3	5	0	//	"인첸트 +5, 등급 0, 디바인 에테리아 아이템"
	40006	3	6	0	//	"인첸트 +6, 등급 0, 디바인 에테리아 아이템"
	40007	3	7	0	//	"인첸트 +7, 등급 0, 디바인 에테리아 아이템"
	40008	3	8	0	//	"인첸트 +8, 등급 0, 디바인 에테리아 아이템"
	40009	3	9	0	//	"인첸트 +9, 등급 0, 디바인 에테리아 아이템"
	40010	3	10	0	//	"인첸트 +10, 등급 0, 디바인 에테리아 아이템"
	40011	3	11	0	//	"인첸트 +11, 등급 0, 디바인 에테리아 아이템"
	40012	3	12	0	//	"인첸트 +12, 등급 0, 디바인 에테리아 아이템"
	40100	3	0	1	//	"인첸트 +0, 등급 1, 디바인 에테리아 아이템"
	40101	3	1	1	//	"인첸트 +1, 등급 1, 디바인 에테리아 아이템"
	40102	3	2	1	//	"인첸트 +2, 등급 1, 디바인 에테리아 아이템"
	40103	3	3	1	//	"인첸트 +3, 등급 1, 디바인 에테리아 아이템"
	40104	3	4	1	//	"인첸트 +4, 등급 1, 디바인 에테리아 아이템"
	40105	3	5	1	//	"인첸트 +5, 등급 1, 디바인 에테리아 아이템"
	40106	3	6	1	//	"인첸트 +6, 등급 1, 디바인 에테리아 아이템"
	40107	3	7	1	//	"인첸트 +7, 등급 1, 디바인 에테리아 아이템"
	40108	3	8	1	//	"인첸트 +8, 등급 1, 디바인 에테리아 아이템"
	40109	3	9	1	//	"인첸트 +9, 등급 1, 디바인 에테리아 아이템"
	40110	3	10	1	//	"인첸트 +10, 등급 1, 디바인 에테리아 아이템"
	40111	3	11	1	//	"인첸트 +11, 등급 1, 디바인 에테리아 아이템"
	40112	3	12	1	//	"인첸트 +12, 등급 1, 디바인 에테리아 아이템"
	40200	3	0	2	//	"인첸트 +0, 등급 2, 디바인 에테리아 아이템"
	40201	3	1	2	//	"인첸트 +1, 등급 2, 디바인 에테리아 아이템"
	40202	3	2	2	//	"인첸트 +2, 등급 2, 디바인 에테리아 아이템"
	40203	3	3	2	//	"인첸트 +3, 등급 2, 디바인 에테리아 아이템"
	40204	3	4	2	//	"인첸트 +4, 등급 2, 디바인 에테리아 아이템"
	40205	3	5	2	//	"인첸트 +5, 등급 2, 디바인 에테리아 아이템"
	40206	3	6	2	//	"인첸트 +6, 등급 2, 디바인 에테리아 아이템"
	40207	3	7	2	//	"인첸트 +7, 등급 2, 디바인 에테리아 아이템"
	40208	3	8	2	//	"인첸트 +8, 등급 2, 디바인 에테리아 아이템"
	40209	3	9	2	//	"인첸트 +9, 등급 2, 디바인 에테리아 아이템"
	40210	3	10	2	//	"인첸트 +10, 등급 2, 디바인 에테리아 아이템"
	40211	3	11	2	//	"인첸트 +11, 등급 2, 디바인 에테리아 아이템"
	40212	3	12	2	//	"인첸트 +12, 등급 2, 디바인 에테리아 아이템"
	40300	3	0	3	//	"인첸트 +0, 등급 3, 디바인 에테리아 아이템"
	40301	3	1	3	//	"인첸트 +1, 등급 3, 디바인 에테리아 아이템"
	40302	3	2	3	//	"인첸트 +2, 등급 3, 디바인 에테리아 아이템"
	40303	3	3	3	//	"인첸트 +3, 등급 3, 디바인 에테리아 아이템"
	40304	3	4	3	//	"인첸트 +4, 등급 3, 디바인 에테리아 아이템"
	40305	3	5	3	//	"인첸트 +5, 등급 3, 디바인 에테리아 아이템"
	40306	3	6	3	//	"인첸트 +6, 등급 3, 디바인 에테리아 아이템"
	40307	3	7	3	//	"인첸트 +7, 등급 3, 디바인 에테리아 아이템"
	40308	3	8	3	//	"인첸트 +8, 등급 3, 디바인 에테리아 아이템"
	40309	3	9	3	//	"인첸트 +9, 등급 3, 디바인 에테리아 아이템"
	40310	3	10	3	//	"인첸트 +10, 등급 3, 디바인 에테리아 아이템"
	40311	3	11	3	//	"인첸트 +11, 등급 3, 디바인 에테리아 아이템"
	40312	3	12	3	//	"인첸트 +12, 등급 3, 디바인 에테리아 아이템"
	40400	3	0	4	//	"인첸트 +0, 등급 4, 디바인 에테리아 아이템"
	40401	3	1	4	//	"인첸트 +1, 등급 4, 디바인 에테리아 아이템"
	40402	3	2	4	//	"인첸트 +2, 등급 4, 디바인 에테리아 아이템"
	40403	3	3	4	//	"인첸트 +3, 등급 4, 디바인 에테리아 아이템"
	40404	3	4	4	//	"인첸트 +4, 등급 4, 디바인 에테리아 아이템"
	40405	3	5	4	//	"인첸트 +5, 등급 4, 디바인 에테리아 아이템"
	40406	3	6	4	//	"인첸트 +6, 등급 4, 디바인 에테리아 아이템"
	40407	3	7	4	//	"인첸트 +7, 등급 4, 디바인 에테리아 아이템"
	40408	3	8	4	//	"인첸트 +8, 등급 4, 디바인 에테리아 아이템"
	40409	3	9	4	//	"인첸트 +9, 등급 4, 디바인 에테리아 아이템"
	40410	3	10	4	//	"인첸트 +10, 등급 4, 디바인 에테리아 아이템"
	40411	3	11	4	//	"인첸트 +11, 등급 4, 디바인 에테리아 아이템"
	40412	3	12	4	//	"인첸트 +12, 등급 4, 디바인 에테리아 아이템"
	40500	3	0	5	//	"인첸트 +0, 등급 5, 디바인 에테리아 아이템"
	40501	3	1	5	//	"인첸트 +1, 등급 5, 디바인 에테리아 아이템"
	40502	3	2	5	//	"인첸트 +2, 등급 5, 디바인 에테리아 아이템"
	40503	3	3	5	//	"인첸트 +3, 등급 5, 디바인 에테리아 아이템"
	40504	3	4	5	//	"인첸트 +4, 등급 5, 디바인 에테리아 아이템"
	40505	3	5	5	//	"인첸트 +5, 등급 5, 디바인 에테리아 아이템"
	40506	3	6	5	//	"인첸트 +6, 등급 5, 디바인 에테리아 아이템"
	40507	3	7	5	//	"인첸트 +7, 등급 5, 디바인 에테리아 아이템"
	40508	3	8	5	//	"인첸트 +8, 등급 5, 디바인 에테리아 아이템"
	40509	3	9	5	//	"인첸트 +9, 등급 5, 디바인 에테리아 아이템"
	40510	3	10	5	//	"인첸트 +10, 등급 5, 디바인 에테리아 아이템"
	40511	3	11	5	//	"인첸트 +11, 등급 5, 디바인 에테리아 아이템"
	40512	3	12	5	//	"인첸트 +12, 등급 5, 디바인 에테리아 아이템"
	40600	3	0	6	//	"인첸트 +0, 등급 6, 디바인 에테리아 아이템"
	40601	3	1	6	//	"인첸트 +1, 등급 6, 디바인 에테리아 아이템"
	40602	3	2	6	//	"인첸트 +2, 등급 6, 디바인 에테리아 아이템"
	40603	3	3	6	//	"인첸트 +3, 등급 6, 디바인 에테리아 아이템"
	40604	3	4	6	//	"인첸트 +4, 등급 6, 디바인 에테리아 아이템"
	40605	3	5	6	//	"인첸트 +5, 등급 6, 디바인 에테리아 아이템"
	40606	3	6	6	//	"인첸트 +6, 등급 6, 디바인 에테리아 아이템"
	40607	3	7	6	//	"인첸트 +7, 등급 6, 디바인 에테리아 아이템"
	40608	3	8	6	//	"인첸트 +8, 등급 6, 디바인 에테리아 아이템"
	40609	3	9	6	//	"인첸트 +9, 등급 6, 디바인 에테리아 아이템"
	40610	3	10	6	//	"인첸트 +10, 등급 6, 디바인 에테리아 아이템"
	40611	3	11	6	//	"인첸트 +11, 등급 6, 디바인 에테리아 아이템"
	40612	3	12	6	//	"인첸트 +12, 등급 6, 디바인 에테리아 아이템"
	40700	3	0	7	//	"인첸트 +0, 등급 7, 디바인 에테리아 아이템"
	40701	3	1	7	//	"인첸트 +1, 등급 7, 디바인 에테리아 아이템"
	40702	3	2	7	//	"인첸트 +2, 등급 7, 디바인 에테리아 아이템"
	40703	3	3	7	//	"인첸트 +3, 등급 7, 디바인 에테리아 아이템"
	40704	3	4	7	//	"인첸트 +4, 등급 7, 디바인 에테리아 아이템"
	40705	3	5	7	//	"인첸트 +5, 등급 7, 디바인 에테리아 아이템"
	40706	3	6	7	//	"인첸트 +6, 등급 7, 디바인 에테리아 아이템"
	40707	3	7	7	//	"인첸트 +7, 등급 7, 디바인 에테리아 아이템"
	40708	3	8	7	//	"인첸트 +8, 등급 7, 디바인 에테리아 아이템"
	40709	3	9	7	//	"인첸트 +9, 등급 7, 디바인 에테리아 아이템"
	40710	3	10	7	//	"인첸트 +10, 등급 7, 디바인 에테리아 아이템"
	40711	3	11	7	//	"인첸트 +11, 등급 7, 디바인 에테리아 아이템"
	40712	3	12	7	//	"인첸트 +12, 등급 7, 디바인 에테리아 아이템"
	40800	3	0	8	//	"인첸트 +0, 등급 8, 디바인 에테리아 아이템"
	40801	3	1	8	//	"인첸트 +1, 등급 8, 디바인 에테리아 아이템"
	40802	3	2	8	//	"인첸트 +2, 등급 8, 디바인 에테리아 아이템"
	40803	3	3	8	//	"인첸트 +3, 등급 8, 디바인 에테리아 아이템"
	40804	3	4	8	//	"인첸트 +4, 등급 8, 디바인 에테리아 아이템"
	40805	3	5	8	//	"인첸트 +5, 등급 8, 디바인 에테리아 아이템"
	40806	3	6	8	//	"인첸트 +6, 등급 8, 디바인 에테리아 아이템"
	40807	3	7	8	//	"인첸트 +7, 등급 8, 디바인 에테리아 아이템"
	40808	3	8	8	//	"인첸트 +8, 등급 8, 디바인 에테리아 아이템"
	40809	3	9	8	//	"인첸트 +9, 등급 8, 디바인 에테리아 아이템"
	40810	3	10	8	//	"인첸트 +10, 등급 8, 디바인 에테리아 아이템"
	40811	3	11	8	//	"인첸트 +11, 등급 8, 디바인 에테리아 아이템"
	40812	3	12	8	//	"인첸트 +12, 등급 8, 디바인 에테리아 아이템"
	40900	3	0	9	//	"인첸트 +0, 등급 9, 디바인 에테리아 아이템"
	40901	3	1	9	//	"인첸트 +1, 등급 9, 디바인 에테리아 아이템"
	40902	3	2	9	//	"인첸트 +2, 등급 9, 디바인 에테리아 아이템"
	40903	3	3	9	//	"인첸트 +3, 등급 9, 디바인 에테리아 아이템"
	40904	3	4	9	//	"인첸트 +4, 등급 9, 디바인 에테리아 아이템"
	40905	3	5	9	//	"인첸트 +5, 등급 9, 디바인 에테리아 아이템"
	40906	3	6	9	//	"인첸트 +6, 등급 9, 디바인 에테리아 아이템"
	40907	3	7	9	//	"인첸트 +7, 등급 9, 디바인 에테리아 아이템"
	40908	3	8	9	//	"인첸트 +8, 등급 9, 디바인 에테리아 아이템"
	40909	3	9	9	//	"인첸트 +9, 등급 9, 디바인 에테리아 아이템"
	40910	3	10	9	//	"인첸트 +10, 등급 9, 디바인 에테리아 아이템"
	40911	3	11	9	//	"인첸트 +11, 등급 9, 디바인 에테리아 아이템"
	40912	3	12	9	//	"인첸트 +12, 등급 9, 디바인 에테리아 아이템"
	50000	4	0	0	//	"인첸트 +0, 등급 0, 외형 아이템"
	50001	4	1	0	//	"인첸트 +1, 등급 0, 외형 아이템"
	50002	4	2	0	//	"인첸트 +2, 등급 0, 외형 아이템"
	50003	4	3	0	//	"인첸트 +3, 등급 0, 외형 아이템"
	50004	4	4	0	//	"인첸트 +4, 등급 0, 외형 아이템"
	50005	4	5	0	//	"인첸트 +5, 등급 0, 외형 아이템"
	50006	4	6	0	//	"인첸트 +6, 등급 0, 외형 아이템"
	50007	4	7	0	//	"인첸트 +7, 등급 0, 외형 아이템"
	50008	4	8	0	//	"인첸트 +8, 등급 0, 외형 아이템"
	50009	4	9	0	//	"인첸트 +9, 등급 0, 외형 아이템"
	50010	4	10	0	//	"인첸트 +10, 등급 0, 외형 아이템"
	50011	4	11	0	//	"인첸트 +11, 등급 0, 외형 아이템"
	50012	4	12	0	//	"인첸트 +12, 등급 0, 외형 아이템"
	50100	4	0	1	//	"인첸트 +0, 등급 1, 외형 아이템"
	50101	4	1	1	//	"인첸트 +1, 등급 1, 외형 아이템"
	50102	4	2	1	//	"인첸트 +2, 등급 1, 외형 아이템"
	50103	4	3	1	//	"인첸트 +3, 등급 1, 외형 아이템"
	50104	4	4	1	//	"인첸트 +4, 등급 1, 외형 아이템"
	50105	4	5	1	//	"인첸트 +5, 등급 1, 외형 아이템"
	50106	4	6	1	//	"인첸트 +6, 등급 1, 외형 아이템"
	50107	4	7	1	//	"인첸트 +7, 등급 1, 외형 아이템"
	50108	4	8	1	//	"인첸트 +8, 등급 1, 외형 아이템"
	50109	4	9	1	//	"인첸트 +9, 등급 1, 외형 아이템"
	50110	4	10	1	//	"인첸트 +10, 등급 1, 외형 아이템"
	50111	4	11	1	//	"인첸트 +11, 등급 1, 외형 아이템"
	50112	4	12	1	//	"인첸트 +12, 등급 1, 외형 아이템"
	50200	4	0	2	//	"인첸트 +0, 등급 2, 외형 아이템"
	50201	4	1	2	//	"인첸트 +1, 등급 2, 외형 아이템"
	50202	4	2	2	//	"인첸트 +2, 등급 2, 외형 아이템"
	50203	4	3	2	//	"인첸트 +3, 등급 2, 외형 아이템"
	50204	4	4	2	//	"인첸트 +4, 등급 2, 외형 아이템"
	50205	4	5	2	//	"인첸트 +5, 등급 2, 외형 아이템"
	50206	4	6	2	//	"인첸트 +6, 등급 2, 외형 아이템"
	50207	4	7	2	//	"인첸트 +7, 등급 2, 외형 아이템"
	50208	4	8	2	//	"인첸트 +8, 등급 2, 외형 아이템"
	50209	4	9	2	//	"인첸트 +9, 등급 2, 외형 아이템"
	50210	4	10	2	//	"인첸트 +10, 등급 2, 외형 아이템"
	50211	4	11	2	//	"인첸트 +11, 등급 2, 외형 아이템"
	50212	4	12	2	//	"인첸트 +12, 등급 2, 외형 아이템"
	50300	4	0	3	//	"인첸트 +0, 등급 3, 외형 아이템"
	50301	4	1	3	//	"인첸트 +1, 등급 3, 외형 아이템"
	50302	4	2	3	//	"인첸트 +2, 등급 3, 외형 아이템"
	50303	4	3	3	//	"인첸트 +3, 등급 3, 외형 아이템"
	50304	4	4	3	//	"인첸트 +4, 등급 3, 외형 아이템"
	50305	4	5	3	//	"인첸트 +5, 등급 3, 외형 아이템"
	50306	4	6	3	//	"인첸트 +6, 등급 3, 외형 아이템"
	50307	4	7	3	//	"인첸트 +7, 등급 3, 외형 아이템"
	50308	4	8	3	//	"인첸트 +8, 등급 3, 외형 아이템"
	50309	4	9	3	//	"인첸트 +9, 등급 3, 외형 아이템"
	50310	4	10	3	//	"인첸트 +10, 등급 3, 외형 아이템"
	50311	4	11	3	//	"인첸트 +11, 등급 3, 외형 아이템"
	50312	4	12	3	//	"인첸트 +12, 등급 3, 외형 아이템"
	50400	4	0	4	//	"인첸트 +0, 등급 4, 외형 아이템"
	50401	4	1	4	//	"인첸트 +1, 등급 4, 외형 아이템"
	50402	4	2	4	//	"인첸트 +2, 등급 4, 외형 아이템"
	50403	4	3	4	//	"인첸트 +3, 등급 4, 외형 아이템"
	50404	4	4	4	//	"인첸트 +4, 등급 4, 외형 아이템"
	50405	4	5	4	//	"인첸트 +5, 등급 4, 외형 아이템"
	50406	4	6	4	//	"인첸트 +6, 등급 4, 외형 아이템"
	50407	4	7	4	//	"인첸트 +7, 등급 4, 외형 아이템"
	50408	4	8	4	//	"인첸트 +8, 등급 4, 외형 아이템"
	50409	4	9	4	//	"인첸트 +9, 등급 4, 외형 아이템"
	50410	4	10	4	//	"인첸트 +10, 등급 4, 외형 아이템"
	50411	4	11	4	//	"인첸트 +11, 등급 4, 외형 아이템"
	50412	4	12	4	//	"인첸트 +12, 등급 4, 외형 아이템"
	50500	4	0	5	//	"인첸트 +0, 등급 5, 외형 아이템"
	50501	4	1	5	//	"인첸트 +1, 등급 5, 외형 아이템"
	50502	4	2	5	//	"인첸트 +2, 등급 5, 외형 아이템"
	50503	4	3	5	//	"인첸트 +3, 등급 5, 외형 아이템"
	50504	4	4	5	//	"인첸트 +4, 등급 5, 외형 아이템"
	50505	4	5	5	//	"인첸트 +5, 등급 5, 외형 아이템"
	50506	4	6	5	//	"인첸트 +6, 등급 5, 외형 아이템"
	50507	4	7	5	//	"인첸트 +7, 등급 5, 외형 아이템"
	50508	4	8	5	//	"인첸트 +8, 등급 5, 외형 아이템"
	50509	4	9	5	//	"인첸트 +9, 등급 5, 외형 아이템"
	50510	4	10	5	//	"인첸트 +10, 등급 5, 외형 아이템"
	50511	4	11	5	//	"인첸트 +11, 등급 5, 외형 아이템"
	50512	4	12	5	//	"인첸트 +12, 등급 5, 외형 아이템"
	50600	4	0	6	//	"인첸트 +0, 등급 6, 외형 아이템"
	50601	4	1	6	//	"인첸트 +1, 등급 6, 외형 아이템"
	50602	4	2	6	//	"인첸트 +2, 등급 6, 외형 아이템"
	50603	4	3	6	//	"인첸트 +3, 등급 6, 외형 아이템"
	50604	4	4	6	//	"인첸트 +4, 등급 6, 외형 아이템"
	50605	4	5	6	//	"인첸트 +5, 등급 6, 외형 아이템"
	50606	4	6	6	//	"인첸트 +6, 등급 6, 외형 아이템"
	50607	4	7	6	//	"인첸트 +7, 등급 6, 외형 아이템"
	50608	4	8	6	//	"인첸트 +8, 등급 6, 외형 아이템"
	50609	4	9	6	//	"인첸트 +9, 등급 6, 외형 아이템"
	50610	4	10	6	//	"인첸트 +10, 등급 6, 외형 아이템"
	50611	4	11	6	//	"인첸트 +11, 등급 6, 외형 아이템"
	50612	4	12	6	//	"인첸트 +12, 등급 6, 외형 아이템"
	50700	4	0	7	//	"인첸트 +0, 등급 7, 외형 아이템"
	50701	4	1	7	//	"인첸트 +1, 등급 7, 외형 아이템"
	50702	4	2	7	//	"인첸트 +2, 등급 7, 외형 아이템"
	50703	4	3	7	//	"인첸트 +3, 등급 7, 외형 아이템"
	50704	4	4	7	//	"인첸트 +4, 등급 7, 외형 아이템"
	50705	4	5	7	//	"인첸트 +5, 등급 7, 외형 아이템"
	50706	4	6	7	//	"인첸트 +6, 등급 7, 외형 아이템"
	50707	4	7	7	//	"인첸트 +7, 등급 7, 외형 아이템"
	50708	4	8	7	//	"인첸트 +8, 등급 7, 외형 아이템"
	50709	4	9	7	//	"인첸트 +9, 등급 7, 외형 아이템"
	50710	4	10	7	//	"인첸트 +10, 등급 7, 외형 아이템"
	50711	4	11	7	//	"인첸트 +11, 등급 7, 외형 아이템"
	50712	4	12	7	//	"인첸트 +12, 등급 7, 외형 아이템"
	50800	4	0	8	//	"인첸트 +0, 등급 8, 외형 아이템"
	50801	4	1	8	//	"인첸트 +1, 등급 8, 외형 아이템"
	50802	4	2	8	//	"인첸트 +2, 등급 8, 외형 아이템"
	50803	4	3	8	//	"인첸트 +3, 등급 8, 외형 아이템"
	50804	4	4	8	//	"인첸트 +4, 등급 8, 외형 아이템"
	50805	4	5	8	//	"인첸트 +5, 등급 8, 외형 아이템"
	50806	4	6	8	//	"인첸트 +6, 등급 8, 외형 아이템"
	50807	4	7	8	//	"인첸트 +7, 등급 8, 외형 아이템"
	50808	4	8	8	//	"인첸트 +8, 등급 8, 외형 아이템"
	50809	4	9	8	//	"인첸트 +9, 등급 8, 외형 아이템"
	50810	4	10	8	//	"인첸트 +10, 등급 8, 외형 아이템"
	50811	4	11	8	//	"인첸트 +11, 등급 8, 외형 아이템"
	50812	4	12	8	//	"인첸트 +12, 등급 8, 외형 아이템"
	50900	4	0	9	//	"인첸트 +0, 등급 9, 외형 아이템"
	50901	4	1	9	//	"인첸트 +1, 등급 9, 외형 아이템"
	50902	4	2	9	//	"인첸트 +2, 등급 9, 외형 아이템"
	50903	4	3	9	//	"인첸트 +3, 등급 9, 외형 아이템"
	50904	4	4	9	//	"인첸트 +4, 등급 9, 외형 아이템"
	50905	4	5	9	//	"인첸트 +5, 등급 9, 외형 아이템"
	50906	4	6	9	//	"인첸트 +6, 등급 9, 외형 아이템"
	50907	4	7	9	//	"인첸트 +7, 등급 9, 외형 아이템"
	50908	4	8	9	//	"인첸트 +8, 등급 9, 외형 아이템"
	50909	4	9	9	//	"인첸트 +9, 등급 9, 외형 아이템"
	50910	4	10	9	//	"인첸트 +10, 등급 9, 외형 아이템"
	50911	4	11	9	//	"인첸트 +11, 등급 9, 외형 아이템"
	50912	4	12	9	//	"인첸트 +12, 등급 9, 외형 아이템"
