	//Version	0.0.0.5				0.8.1.9																0.8.1.9																																																																							0.9.0.4	0.9.0.4		0.9.0.4	0.9.0.4		0.9.0.4	0.9.0.4		0.9.0.4	0.9.0.4		0.9.0.4	0.9.0.4												0.9.0.4	0.9.0.4	0.9.0.4	0.9.0.2	0.8.1.9			815	815	815	815						0.9.0.4	0.9.0.4	0.9.0.4	
	489	#6얼음수정궁전돌파!	0	400604	57	1	0	0	3	1	0	400758	0	65140	65138	20203	1	53	135	31	1	0	0	0	0	0	0	0	0	0	488	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20201	3313	3313	3313	3313	3313	3214	3215	0	3216	40201	0	0	0	
	490	#7미션얼음수정궁전!_고정포탈	0	400605	57	1	0	0	3	1	0	400758	0	65138	65138	20203	1	53	135	31	1	0	0	0	0	0	0	0	0	0	489	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20202	3314	3314	3314	3314	3314	3217	3218	0	3219	40202	0	0	0	
	//491	#7-1미션얼음수정궁전!_생성포탈	0	400605	57	1	0	0	3	1	0	400758	0	65138	65138	20203	1	53	135	31	1	0	0	0	0	0	0	0	0	0	489	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20203	3314	3314	3314	3314	3314	3220	3221	0	3222	40203	0	0	0	
	1271	#7미션얼음수정궁전!_고정포탈	0	400606	57	1	0	0	3	1	0	400758	0	65138	65138	20203	0	53	135	31	1	0	0	0	0	0	0	0	0	0	490	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20202	3315	3315	3315	3315	3315	3223	3224	0	3225	40202	0	0	0	
	//1272	#7-1미션얼음수정궁전!_생성포탈	0	400606	57	1	0	0	3	1	0	400758	0	65138	65138	20203	0	53	135	31	1	0	0	0	0	0	0	0	0	0	491	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20203	3315	3315	3315	3315	3315	3226	3227	0	3228	40203	0	0	0	
	492	#8에텔레인으로	0	400607	57	1	0	0	3	1	0	400758	0	65138	63836	10003	1	53	135	31	1	0	0	0	0	0	0	0	0	0	490	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20204	3316	3316	3316	3316	3316	3229	3230	0	3231	40204	0	0	0	
	//용족의계곡																																																																																												0	0		0	0		0	0		0	0		0	0												0	0	0									4001~5000	4001~5000				0	0	0	
	//																																																																																												0	0		0	0		0	0		0	0		0	0												0	0	0														0	0	0	
	493	#1경비대장의부름	1	400608	58	1	0	0	4	0	0	400759	0	63836	63818	10003	1	58	135	31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20205	3317	3317	3317	3317	3317	4001	4002	0	4003	40205	0	0	0	
	494	#2용족계곡의명령서전달	1	400609	58	1	0	0	4	0	0	400759	0	63818	65145	54061	1	58	135	31	1	0	0	0	0	0	0	0	0	0	493	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40351	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40351	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20206	3318	3318	3318	3318	3318	4004	4005	0	4006	40206	0	0	0	
	495	#3고룡무덤의정찰속도점검1	1	400610	58	1	0	0	4	0	0	400759	0	65145	65147	54061	1	58	135	31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40352	0	0	1	0	0	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40352	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20207	3319	3319	3319	3319	3319	4007	4008	0	4009	40207	0	0	0	
	496	#4고룡무덤의정찰속도점검2	1	400611	58	1	0	0	4	0	0	400759	0	65147	65148	54061	1	58	135	31	1	0	0	0	0	0	0	0	0	0	495	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40353	0	0	1	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40353	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20208	3320	3320	3320	3320	3320	4010	4011	0	4012	40208	0	0	0	
	497	#5고룡무덤정찰대장의고민	1	400612	58	1	0	0	4	0	0	400759	0	65148	65148	54061	1	58	135	31	1	0	0	0	0	0	0	0	0	0	496	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	498	501	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20209	3321	3321	3321	3321	3321	4013	4014	0	4015	40209	0	0	0	
	498	#5-1정찰병젠	1	400613	59	1	0	0	4	0	0	400759	0	65146	65146	54061	1	58	135	31	1	1	0	0	0	0	497	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54061	0	0	0	0	1	0	0	0	0	0	0	0	0	0	205	20210	3322	3322	3322	3322	3322	4016	4017	0	4018	40210	0	0	0	
	499	#5-1-1화염의켈베로스	1	400614	59	1	0	0	4	0	0	400759	0	65146	65146	54061	1	58	135	31	1	0	0	0	0	0	0	0	0	0	498	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40354	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20211	3323	3323	3323	3323	3323	4019	4020	0	4021	40211	0	0	0	
	500	#5-1-2젠의보고	1	400615	59	1	0	0	4	0	0	400759	0	65146	65148	54061	1	58	135	31	1	0	0	0	0	0	0	0	0	0	499	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20212	3324	3324	3324	3324	3324	4022	4023	0	4024	40212	0	0	0	
	501	#5-2정찰병제크	1	400616	59	1	0	0	4	0	0	400759	0	65149	65149	54061	1	58	135	31	1	1	0	0	0	0	497	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54061	0	0	0	0	1	0	0	0	0	0	0	0	0	0	205	20213	3325	3325	3325	3325	3325	4025	4026	0	4027	40213	0	0	0	
	502	#5-2-1화염의켈베로스_회색대지의병사제목수정	1	400617	59	1	0	0	4	0	0	400759	0	65149	65149	54061	1	58	135	31	1	0	0	0	0	0	0	0	0	0	501	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	214	0	0	0	0	0	0	0	0	0	0	0	54061	54061	0	0	0	10	10	0	0	0	0	0	0	0	0	0	20214	3326	3326	3326	3326	3326	4028	4029	0	4030	40214	0	0	0	
	503	#5-2-2제크의보고	1	400618	60	1	0	0	4	0	0	400759	0	65149	65148	54061	1	58	135	31	1	0	0	0	0	0	0	0	0	0	502	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20215	3327	3327	3327	3327	3327	4031	4032	0	4033	40215	0	0	0	
	504	#6전령에게로	1	400619	60	1	0	0	4	0	0	400759	0	65148	65150	54061	1	58	135	31	1	0	0	0	0	0	0	0	0	0	497	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20216	3328	3328	3328	3328	3328	4034	4035	0	4036	40216	0	0	0	
	505	#7전령의보고	1	400620	60	1	0	0	4	0	0	400759	0	65150	65151	54081	1	58	135	31	1	0	0	0	0	0	0	0	0	0	504	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20217	3329	3329	3329	3329	3329	4037	4038	0	4039	40217	0	0	0	
	506	#1카르완의분화구	0	400621	60	1	0	0	4	1	0	400759	0	65150	65151	54081	1	60	135	31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20218	3330	3330	3330	3330	3330	4040	4041	0	4042	40218	0	0	0	
	507	#2돌격병유해수습_채집	0	400622	60	1	0	0	4	1	0	400759	0	65151	65151	54081	1	60	135	31	1	0	0	0	0	0	0	0	0	0	506	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40355	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20219	3331	3331	3331	3331	3331	4043	4044	0	4045	40219	0	0	0	
	508	#3용족의행방찾기1	0	400623	61	1	0	0	4	1	0	400759	0	65151	65153	54081	1	60	135	31	1	0	0	0	0	0	0	0	0	0	507	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20220	3332	3332	3332	3332	3332	4046	4047	0	4048	40220	0	0	0	
	509	#4용족의행방찾기2	0	400624	61	1	0	0	4	1	0	400759	0	65153	65153	54081	1	60	135	31	1	0	0	0	0	0	0	0	0	0	508	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20221	3333	3333	3333	3333	3333	4049	4050	0	4051	40221	0	0	0	
	510	#5발키리의심	0	400625	61	1	0	0	4	1	0	400759	0	65153	65154	54081	1	60	135	31	1	0	0	0	0	0	0	0	0	0	509	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40356	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40356	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20222	3334	3334	3334	3334	3334	4052	4053	0	4054	40222	0	0	0	
	511	#6용족반란군과발키리?	0	400626	61	1	0	0	4	1	0	400759	0	65154	65154	54081	1	60	135	31	1	0	0	0	0	0	0	0	0	0	510	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54081	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	20223	3335	3335	3335	3335	3335	4055	4056	0	4057	40223	0	0	0	
	512	#7미션계곡입구정찰_고정포탈	0	400627	61	1	0	0	4	1	0	400759	0	65154	65154	54081	1	60	135	31	1	0	0	0	0	0	0	0	0	0	511	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20224	3336	3336	3336	3336	3336	4058	4059	0	4060	40224	0	0	0	
	//513	#7-1미션계곡입구정찰_생성포탈	0	400627	61	1	0	0	4	1	0	400759	0	65154	65154	54081	1	60	135	31	1	2	0	0	0	0	0	0	0	0	511	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	17	0	20225	3336	3336	3336	3336	3336	4061	4062	0	4063	40225	0	0	0	
	1273	#7미션계곡입구정찰_고정포탈	0	400628	61	1	0	0	4	1	0	400759	0	65154	65154	54081	0	60	135	31	1	0	0	0	0	0	0	0	0	0	512	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20224	3337	3337	3337	3337	3337	4064	4065	0	4066	40224	0	0	0	
	//1274	#7-1미션계곡입구정찰_생성포탈	0	400628	61	1	0	0	4	1	0	400759	0	65154	65154	54081	0	60	135	31	1	2	0	0	0	0	0	0	0	0	513	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	17	0	20225	3337	3337	3337	3337	3337	4067	4068	0	4069	40225	0	0	0	
	514	#8불신의결과	0	400629	62	1	0	0	4	1	0	400759	0	65154	65151	54081	1	60	135	31	1	0	0	0	0	0	0	0	0	0	512	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20226	3338	3338	3338	3338	3338	4070	4071	0	4072	40226	0	0	0	
	515	#9전령에게	0	400630	62	1	0	0	4	1	0	400759	0	65151	65152	54081	1	60	135	31	1	0	0	0	0	0	0	0	0	0	514	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20227	3339	3339	3339	3339	3339	4073	4074	0	4075	40227	0	0	0	
	516	#10붉은용암의계곡	0	400631	62	1	0	0	4	1	0	400759	0	65152	65157	54001	1	60	135	31	1	0	0	0	0	0	0	0	0	0	515	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20228	3340	3340	3340	3340	3340	4076	4077	0	4078	40228	0	0	0	
	//																																																																																												0	0		0	0		0	0		0	0		0	0												0	0	0														0	0	0	
	517	#1발키리클랜의의혹	0	400632	62	1	0	0	4	1	0	400759	0	65157	65157	54001	1	62	135	31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54001	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	20229	3341	3341	3341	3341	3341	4079	4080	0	4081	40229	0	0	0	
	518	#2정령의흔적추적1	0	400633	63	1	0	0	4	1	0	400759	0	65157	65155	54001	1	62	135	31	1	0	0	0	0	0	0	0	0	0	517	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54001	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	20230	3342	3342	3342	3342	3342	4082	4083	0	4084	40230	0	0	0	
	519	#3정령의흔적추적2	0	400634	63	1	0	0	4	1	0	400759	0	65155	65155	54001	1	62	135	31	1	0	0	0	0	0	0	0	0	0	518	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40357	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20231	3343	3343	3343	3343	3343	4085	4086	0	4087	40231	0	0	0	
	520	#4정령의흔적추적3	0	400635	63	1	0	0	4	1	0	400759	0	65155	65158	54001	1	62	135	31	1	0	0	0	0	0	0	0	0	0	519	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20232	3344	3344	3344	3344	3344	4088	4089	0	4090	40232	0	0	0	
	521	#5발키리클랜의정찰병라이라	0	400636	64	1	0	0	4	1	0	400759	0	65158	65158	54001	1	62	135	31	1	0	0	0	0	0	0	0	0	0	520	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	20233	3345	3345	3345	3345	3345	4091	4092	0	4093	40233	0	0	0	
	522	#6결백주장!	0	400637	64	1	0	0	4	1	0	400759	0	65158	65155	54001	1	62	135	31	1	0	0	0	0	0	0	0	0	0	521	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20234	3346	3346	3346	3346	3346	4094	4095	0	4096	40234	0	0	0	
	523	#7미션추격의실마리!_고정포탈	0	400638	64	1	0	0	4	1	0	400759	0	65155	65155	54001	1	62	135	31	1	0	0	0	0	0	0	0	0	0	522	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20235	3347	3347	3347	3347	3347	4097	4098	0	4099	40235	0	0	0	
	//524	#7-1미션추격의실마리!_생성포탈	0	400638	64	1	0	0	4	1	0	400759	0	65155	65155	54001	1	62	135	31	1	2	0	0	0	0	0	0	0	0	522	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	18	0	20236	3348	3347	3347	3347	3347	4100	4101	0	4102	40236	0	0	0	
	1275	#7미션추격의실마리!_고정포탈	0	400639	64	1	0	0	4	1	0	400759	0	65155	65155	54001	0	62	135	31	1	0	0	0	0	0	0	0	0	0	523	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20235	3348	3348	3348	3348	3348	4103	4104	0	4105	40235	0	0	0	
	//1276	#7-1미션추격의실마리!_생성포탈	0	400639	64	1	0	0	4	1	0	400759	0	65155	65155	54001	0	62	135	31	1	2	0	0	0	0	0	0	0	0	524	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	18	0	20236	3348	3348	3348	3348	3348	4106	4107	0	4108	40236	0	0	0	
	525	#8발키리클랜의무죄입증	0	400640	65	1	0	0	4	1	0	400759	0	65155	65156	54001	1	62	135	31	1	0	0	0	0	0	0	0	0	0	523	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20237	3349	3349	3349	3349	3349	4109	4110	0	4111	40237	0	0	0	
	526	#9울부짖는골짜기의수색병	0	400641	65	1	0	0	4	1	0	400759	0	65156	65159	54021	1	62	135	31	1	0	0	0	0	0	0	0	0	0	525	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20238	3350	3350	3350	3350	3350	4112	4113	0	4114	40238	0	0	0	
	//																	70	135																																																																										0	0		0	0		0	0		0	0		0	0												0	0	0														0	0	0	
	527	#1울부짖는골짜기	0	400642	65	1	0	0	4	1	0	400759	0	65159	65159	54021	1	64	135	31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54021	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	20239	3351	3351	3351	3351	3351	4115	4116	0	4117	40239	0	0	0	
